,state,voted,calculated_age,Voters_Gender,Parties_Description,EthnicGroups_EthnicGroup1Desc,Ethnic_Description,Residence_HHParties_Description,CommercialData_EstimatedIncomeAmount,CommercialData_PropertyType,CommercialData_EstHomeValue,nonpartisan_donation
62,fl,1,27.068097567714048,1,Republican,European,French,Republican,90049.01487585745,Unknown,251537.87641492859,0
63,nj,0,61.196810071620384,0,Democratic,European,Hispanic,Independent,130539.19523423274,Residential,432054.6732100901,1
64,ok,0,72.40687528575407,0,Democratic,European,Hispanic,Republican & Independent,39915.39715882682,Residential,485370.8696862863,1
65,nc,1,61.26459003470216,0,Democratic,East and South Asian,African or Af-Am Self Reported,Independent,87122.02979594741,Apartment,338914.145147777,0
66,tx,1,14.583928640910546,1,Non-Partisan,European,English/Welsh,Independent,170766.3987414749,Residential,1859759.7153697545,0
67,va,1,42.683814597032544,1,Non-Partisan,Likely African-American,French,Republican & Independent,93616.52272885808,Unknown,137229.12225111123,1
68,ca,1,34.522138581799986,1,Democratic,European,German,Democratic,72913.66169531806,Apartment,282143.7749280514,1
69,tx,1,28.75194903791371,1,Non-Partisan,East and South Asian,English/Welsh,Independent,94172.28785326492,Condominium,658164.6429978309,1
70,nj,1,74.91892004864538,0,Non-Partisan,European,German,Independent,51138.921543563614,Residential,612926.8819975669,1
71,va,1,46.3458549611834,1,Democratic,Other,Likely Af-Am (Modeled),Republican,82075.49371551043,Residential,435974.02420534677,0
72,ga,0,56.607679362522205,1,Democratic,European,English/Welsh,Republican & Independent,274421.5334236848,Apartment,231864.52242294952,0
73,ut,0,58.65803408635555,1,Democratic,Hispanic and Portuguese,English/Welsh,Republican,85637.90326247562,Residential,299021.7006398516,0
74,ms,0,62.505668768539245,0,Non-Partisan,East and South Asian,German,Independent,134592.9478007744,Apartment,241759.73851436883,0
75,tn,1,52.294048744163604,1,Non-Partisan,European,Hispanic,Independent,64756.13089186429,Unknown,194172.306188818,0
76,al,1,35.23960079040752,1,Democratic,European,French,Democratic,88662.40348201388,Apartment,221815.30249332203,0
77,wa,1,12.838103077306581,1,Democratic,Hispanic and Portuguese,French,Republican,249613.94095681264,Residential,405964.2423433076,0
78,ca,0,54.421143627241094,1,Democratic,European,Korean,Republican,114605.61427355716,Triplex,286682.6742564973,0
79,mi,0,43.641179710992816,1,Democratic,Hispanic and Portuguese,English/Welsh,Democratic,36773.80863555259,Unknown,805821.585885488,0
80,ia,0,83.16811093003066,0,Non-Partisan,Hispanic and Portuguese,Hungarian,Independent,45382.8593797443,Residential,81697.37313878172,0
81,tx,1,14.470725067111896,1,Democratic,Hispanic and Portuguese,English/Welsh,Democratic & Independent,124381.56643616002,Residential,1247472.6511242646,1
82,de,0,57.13366847262084,1,Democratic,European,Hispanic,Independent,36337.06829840509,Residential,574175.5963408792,0
83,ma,1,19.53720687681444,1,Democratic,European,English/Welsh,Democratic & Republican,103990.50764751773,Residential,282910.1363789498,0
84,co,1,24.03508021856844,1,Democratic,European,Romanian,Independent,156270.4822082852,Residential,428435.9495628904,0
85,tn,0,18.556733892578016,1,Non-Partisan,European,Filipino,Republican,20348.079447974964,Residential,600303.7212292508,0
86,mi,0,58.75466628938667,1,Republican,European,English/Welsh,Democratic,127179.84647382022,Apartment,170358.28122815027,0
87,ca,1,28.617810474054433,1,Non-Partisan,East and South Asian,African or Af-Am Self Reported,Independent,123922.48971555749,Apartment,52684.03862290169,1
88,nj,0,63.62417174713905,1,Republican,European,English/Welsh,Democratic,70643.2339675888,Residential,323470.6980536389,1
89,tx,1,68.9168096267767,1,Democratic,Likely African-American,German,Democratic,110679.46525775289,Apartment,457947.40664465824,0
90,ca,0,47.91943521171109,1,Democratic,European,Persian,Democratic & Independent,98166.56170177842,Residential,229938.62209537008,0
91,in,0,45.253946705166854,1,Republican,Likely African-American,Irish,Independent,83017.54061344042,Residential,270894.4309431498,0
92,ct,1,47.964143598132495,0,Republican,Likely African-American,Unknown Asian,Republican,101277.4298083373,Residential,354710.3779807794,0
93,tx,0,81.77394515979321,1,Republican,Other,Hungarian,Democratic,110259.75376669463,Residential,244946.98828695493,0
94,tx,1,33.403788484670855,1,Democratic,European,English/Welsh,Republican,3909.514936962518,Residential,25868.96166931468,0
95,ca,1,25.995919943956192,1,Non-Partisan,Other,Italian,Republican,104298.84417216774,Apartment,107226.73594828608,0
96,ca,1,46.219892375609845,1,Republican,European,German,Independent,65143.80855522917,Apartment,367212.9301418839,1
97,mn,1,43.19164552370961,1,Democratic,European,German,Republican,102603.54920640108,Apartment,127725.63419579361,0
98,mi,0,19.978191253394748,0,Republican,European,Likely Af-Am (Modeled),Democratic,100232.70177639276,Unknown,1745367.5063759042,1
99,md,0,66.65422460766317,1,Democratic,European,Italian,Independent,88195.0216921697,Triplex,348630.16532117676,0
100,al,1,43.439556521032436,0,Republican,Hispanic and Portuguese,Norwegian,Independent,65589.0814957176,Residential,400211.10034603206,1
101,nj,0,54.99030789781522,0,Democratic,European,Italian,Democratic & Independent,140454.79792147072,Residential,308925.33667997614,1
102,oh,1,54.799233938204274,1,Non-Partisan,Hispanic and Portuguese,Lithuanian,Democratic,81233.8488216293,Residential,249262.53945967692,1
103,pa,1,55.879284127108,1,Republican,Likely African-American,Hispanic,Republican,74095.81813310656,Apartment,147702.5897971328,0
104,co,1,16.838805705697837,1,Democratic,Hispanic and Portuguese,Hispanic,Independent,80945.666893435,Residential,67218.83581818239,0
105,mi,1,59.7120146023559,0,Democratic,European,African or Af-Am Self Reported,Independent,75638.91897948484,Unknown,403469.4716018778,0
106,fl,1,59.34892750738635,1,Republican,European,Swedish,Democratic,109923.5816689954,Residential,67841.20349116565,1
107,va,1,42.74686271434948,0,Republican,European,Likely Af-Am (Modeled),Independent,253327.45018197468,Apartment,284346.2986166887,0
108,ga,1,20.32347500923725,0,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic & Independent,105993.71125692509,Residential,41343.83535926863,1
109,ca,1,43.071352994148185,1,Republican,Likely African-American,African or Af-Am Self Reported,Republican,88609.7415165524,Residential,108587.40302093337,0
110,pa,1,48.11757669899724,1,Democratic,European,French,Democratic,98629.40848351236,Residential,222427.5170063373,0
111,ca,1,23.86546528267642,1,Republican,European,English/Welsh,Independent,113099.1405025297,Residential,195866.61203232827,0
112,nh,1,22.992198489341614,1,Republican,European,Italian,Independent,246047.72778734134,Apartment,364846.4268725334,0
113,nh,0,48.34206668291207,1,Democratic,Likely African-American,French,Independent,110451.59927522039,Residential,101163.2074125698,0
114,fl,1,34.39497352046413,1,Constitutional,European,Swedish,Independent,95757.09745850894,Residential,341092.38455257996,0
115,ca,0,50.00023698947743,0,Non-Partisan,Likely African-American,Armenian,Republican & Independent,82004.13263745864,Residential,210880.8654184064,0
116,wi,1,70.09187905251318,0,Republican,European,English/Welsh,Democratic,151962.9213141479,Residential,360389.8516963824,0
117,ca,0,45.853007382613406,0,Democratic,East and South Asian,Hispanic,Independent,110017.18203060137,Apartment,343056.6504246531,0
118,tx,1,54.418347428123255,1,Republican,East and South Asian,German,Democratic,262231.09428168257,Apartment,518204.4550147464,0
119,sc,0,54.81795082414219,0,Democratic,Likely African-American,Chinese,Independent,107373.57413322455,Residential,571750.3616709306,0
120,wv,1,42.39343574583122,1,Democratic,Likely African-American,Russian (omitting former Soviet States),Independent,67423.02280964654,Condominium,210771.2033426919,0
121,tx,1,27.38536403886247,0,Republican,European,Hispanic,Independent,94413.46658370263,Residential,163453.79629160446,0
122,ga,1,67.2801812984132,1,Democratic,European,Polish,Republican,45263.73119397835,Residential,309873.0522871159,0
123,ma,0,65.06369722510009,1,Democratic,European,Scots,Independent,130186.87764521461,Residential,70553.19949914126,1
124,pa,1,50.402570745149134,0,Republican,European,French,Republican,93194.20659437106,Apartment,582014.6791476803,0
125,ia,1,36.18693835411681,0,Non-Partisan,European,English/Welsh,Independent,52284.27379873965,Duplex,669892.3494156873,1
126,in,1,47.785039715610736,1,Republican,Hispanic and Portuguese,Italian,Independent,98369.96319757395,Residential,558946.8886077199,0
127,ca,0,16.85441941446562,1,Republican,European,Hispanic,Democratic,80343.2156763985,Residential,550194.5218717444,0
128,la,1,17.526737105813243,1,Republican,European,African or Af-Am Self Reported,Republican,110331.36041763597,Residential,-38803.39744420229,0
129,oh,1,48.18359113584269,0,American Independent,European,French,Independent,100482.64553511492,Residential,127198.71559956396,1
130,co,1,21.897642393041963,1,Democratic,Hispanic and Portuguese,Swiss,Independent,75150.44928289925,Unknown,549737.2802594698,0
131,tx,1,45.19746491041295,0,Non-Partisan,European,Hispanic,Democratic,43453.114602828915,Residential,177423.8418146714,0
132,mn,1,32.248693909245574,1,Non-Partisan,Other,English/Welsh,Democratic & Independent,94857.40728687658,Residential,234768.1741588623,0
133,il,1,56.94353046151419,1,Democratic,Hispanic and Portuguese,Irish,Democratic,84478.3470073767,Residential,1579125.2193204616,1
134,ok,1,46.399838484528416,1,Other,European,English/Welsh,Independent,43153.82735827436,Residential,783888.7707029913,1
135,co,1,76.89315127605956,1,Other,European,English/Welsh,Republican,68944.18132903753,Apartment,554317.5911542869,0
136,va,1,21.84740805405336,0,Democratic,European,English/Welsh,Republican,58028.32414446153,Unknown,144409.78426049202,0
137,mn,1,67.93025885390462,1,Unknown,European,English/Welsh,Republican,80291.92971608517,Residential,1023301.3203963712,0
138,ca,0,64.42717732241259,1,Non-Partisan,European,African or Af-Am Self Reported,Democratic,74286.54740962278,Condominium,361107.39290699735,1
139,ma,0,46.27053917078135,1,Democratic,Other,Russian (omitting former Soviet States),Independent,137964.35557234948,Residential,422832.4369481839,0
140,ks,1,52.1408800151483,1,Democratic,European,English/Welsh,Democratic & Republican,125823.08211624331,Triplex,373243.3504106684,0
141,ca,1,65.84174958234077,0,American Independent,European,English/Welsh,Republican,89285.79113264981,Apartment,205061.49835871364,0
142,tn,1,56.00407593125368,0,American Independent,Hispanic and Portuguese,German,Democratic,124645.76148092796,Apartment,327780.3012105747,0
143,nc,1,60.148645129626,1,Democratic,East and South Asian,Armenian,Republican,134501.2835018661,Residential,204784.8010200456,1
144,ca,0,85.72192763192263,0,Non-Partisan,European,Hispanic,Democratic,112208.0361604303,Triplex,935166.2328284391,0
145,md,1,48.16610213198038,0,Republican,Hispanic and Portuguese,English/Welsh,Republican,78220.33219778276,Residential,72349.78554722082,0
146,ga,1,47.53872386045239,1,Democratic,European,French,Republican,78965.37220464672,Apartment,287282.69277474185,1
147,ny,1,18.474845938135662,1,Republican,European,Scots,Republican,124854.80580050248,Unknown,161859.25400964273,0
148,fl,1,64.07591245477872,0,Democratic,Hispanic and Portuguese,English/Welsh,Democratic,93881.41069324885,Residential,284001.3243390732,0
149,ny,0,61.69620901713529,1,Republican,European,English/Welsh,Republican,109935.15753618209,Apartment,288462.3433421502,0
150,ca,0,15.045533444932087,1,Democratic,European,Nepalese,Republican,266586.895963503,Residential,121798.73930686168,0
151,oh,0,16.791878134079937,1,Democratic,European,German,Republican,101749.04799988712,Residential,139830.92944727,1
152,mi,0,15.387707044970334,1,Republican,Hispanic and Portuguese,English/Welsh,Independent,131150.87099106514,Residential,125335.14516523464,0
153,ma,0,76.15422844675271,0,Republican,Likely African-American,German,Independent,86687.37601230977,Residential,337424.0648621842,0
154,il,1,46.8040995899646,1,Republican,European,Hispanic,Independent,105538.09344515615,Residential,282916.9710241213,0
155,wi,0,52.64407599100809,1,Democratic,Hispanic and Portuguese,English/Welsh,Republican & Independent,65851.69063407216,Unknown,489538.6686608017,0
156,pa,1,31.520768984458453,1,Democratic,European,English/Welsh,Independent,43531.24983094741,Residential,694994.9282497538,0
157,ca,0,17.641023259473947,1,Peace and Freedom,European,Lithuanian,Democratic,249623.97964925374,Unknown,128756.01877569048,0
158,mi,1,50.600707133102134,0,Non-Partisan,East and South Asian,Slovenian,Democratic,72746.5286921835,Duplex,167868.97273121754,0
159,ca,1,29.137792812608236,0,Democratic,Hispanic and Portuguese,Likely Af-Am (Modeled),Independent,26847.780926840936,Apartment,287017.66851992666,0
160,ny,1,38.69527831800779,1,Republican,European,Japanese,Republican & Independent,51937.8790230996,Apartment,315630.40925039846,0
161,mn,0,54.487977514576386,1,Republican,European,English/Welsh,Republican,91660.13902642675,Residential,328245.3286603139,0
162,ny,1,36.48387567297943,0,Republican,European,Hispanic,Republican & Independent,107334.15180158486,Residential,154069.65782402764,0
163,id,1,66.54367651775745,1,Democratic,Likely African-American,English/Welsh,Democratic,106762.08735520321,Unknown,365605.9920919264,0
164,ca,0,55.21044931037383,1,Democratic,East and South Asian,English/Welsh,Independent,118680.6341561306,Residential,312448.5385367419,1
165,ms,0,47.0377523673741,0,Democratic,European,Hispanic,Republican,102032.89405896666,Unknown,694195.6226223262,0
166,az,0,25.21803603318674,1,Democratic,European,Irish,Independent,66243.11005805874,Residential,403022.6469914725,0
167,sc,1,48.26065026509213,0,Democratic,European,Scots,Democratic & Independent,28504.23029252865,Duplex,342506.6383622086,0
168,ak,1,48.24606215770423,1,Republican,European,Likely Af-Am (Modeled),Democratic,87271.12790615461,Unknown,387101.2033006385,0
169,ca,1,66.52614323455418,1,Democratic,European,African or Af-Am Self Reported,Independent,238988.7031634996,Apartment,401951.9921265563,0
170,nj,0,43.54536827365863,0,Republican,European,English/Welsh,Democratic & Independent,139657.4236496646,Residential,240973.90147484382,0
171,ca,0,60.05788634067569,1,Republican,European,German,Republican,95861.45009331527,Unknown,275544.210053935,0
172,nj,1,32.70187528180501,1,Republican,Likely African-American,English/Welsh,Republican,86217.63153285474,Apartment,426428.83089951763,1
173,ca,1,41.6545677158274,1,Democratic,Hispanic and Portuguese,Arab,Republican,124335.52553562378,Residential,80778.01733760042,0
174,pa,0,44.73492932994303,1,Democratic,European,Hispanic,Democratic,106497.29686449793,Residential,831225.6210027314,0
175,nc,0,19.033141267628878,1,Democratic,European,Scots,Democratic & Republican,66783.53922423987,Residential,505137.9655332833,0
176,ca,1,75.50370102996851,1,Republican,European,African or Af-Am Self Reported,Independent,74851.76015775134,Residential,2067858.8752095946,0
177,ny,1,52.86260286092687,1,Democratic,European,English/Welsh,Independent,75743.56582176886,Residential,260208.7737340948,0
178,az,1,17.6552625000782,0,Democratic,Hispanic and Portuguese,English/Welsh,Democratic,58850.93575614377,Residential,417508.9845589785,0
179,wi,0,30.233710755525834,1,Democratic,Other,Unknown Asian,Democratic,111446.08132284506,Apartment,314405.3635816577,0
180,ca,1,59.11745606151121,0,Democratic,European,Hispanic,Republican,97858.22150219625,Apartment,878480.1905466287,0
181,ca,1,31.52705461451036,1,Democratic,European,Hispanic,Democratic,88151.48023532814,Apartment,309559.26403656014,1
182,wa,1,30.528933259891,1,Non-Partisan,European,English/Welsh,Republican,101180.29582597513,Condominium,1129129.5328339515,0
183,ca,1,59.85619833537352,1,Non-Partisan,European,English/Welsh,Independent,160686.979138123,Apartment,482539.5273613462,1
184,oh,0,52.74093126723312,1,Republican,East and South Asian,Portuguese,Independent,38063.626000808836,Apartment,263463.1648835844,1
185,il,0,25.38995382789036,1,Non-Partisan,European,English/Welsh,Democratic & Republican,103348.5590253651,Residential,142159.40757678487,0
186,ca,0,25.98079277226374,1,Non-Partisan,Likely African-American,Likely Af-Am (Modeled),Independent,79515.4211324545,Apartment,130701.47357325772,1
187,ca,1,52.940025126288894,1,Republican,European,Hispanic,Democratic,90761.46581940039,Apartment,126623.34784220919,0
188,tx,0,53.93663294323899,0,Republican,Likely African-American,English/Welsh,Republican,258627.11999022626,Apartment,150747.32455455847,0
189,fl,1,50.51604680584026,1,Democratic,Other,English/Welsh,Republican,155501.15588037868,Apartment,75719.2045030921,1
190,ut,1,51.06505828967508,1,Republican,Hispanic and Portuguese,Italian,Democratic & Independent,196550.41822542355,Residential,314084.47287289426,1
191,ca,1,65.1541957695162,1,Conservative,European,Likely Af-Am (Modeled),Independent,120470.2862380045,Apartment,460491.4558942104,0
192,ut,0,51.25426764200237,1,Republican,European,Irish,Republican,185399.8603818579,Residential,768203.7564611835,0
193,nc,0,59.788321947302926,1,Democratic,European,Italian,Democratic & Independent,163675.7556460552,Residential,14576.858591076729,0
194,ny,1,54.41358209621882,1,Republican,European,Czech,Independent,96190.76914439244,Unknown,167184.91623293993,1
195,in,1,54.97088149080796,1,Republican,European,Swedish,Independent,99077.54946136127,Residential,411959.4754797319,0
196,oh,0,47.51241336290378,1,Democratic,European,Likely Af-Am (Modeled),Democratic,81664.53355319548,Unknown,150177.61899028055,0
197,ca,1,89.69123894789718,0,Republican,European,Russian (omitting former Soviet States),Democratic,119068.65221340905,Apartment,447264.0001841987,0
198,tx,1,45.72635365799022,1,Non-Partisan,European,Indian/Hindu,Democratic,117754.16373881731,Residential,299953.55205030227,1
199,fl,1,15.351326910680255,0,Republican,European,Korean,Independent,84029.2591447229,Residential,40218.43601531771,0
200,ct,1,56.07505123142082,0,Republican,East and South Asian,Hispanic,Independent,27459.216778063586,Apartment,411400.57786564936,0
201,tn,1,77.95167326615001,1,Democratic,Likely African-American,English/Welsh,Independent,150368.568050163,Apartment,402164.8209670806,0
202,ca,1,51.29918953311946,1,Non-Partisan,East and South Asian,English/Welsh,Independent,102613.13531209575,Residential,319735.8396404198,0
203,ak,0,55.9441870079245,1,Republican,Hispanic and Portuguese,Czech,Independent,32735.450180661792,Apartment,481152.2340995162,0
204,va,0,29.83507278447101,1,Republican,European,Hispanic,Democratic,42175.9971934723,Apartment,446197.3691253869,1
205,sc,1,20.135314071317307,0,Republican,Hispanic and Portuguese,Norwegian,Democratic,243276.1054826948,Unknown,400779.04695331934,0
206,co,1,69.63750172470914,0,Democratic,European,English/Welsh,Democratic,262620.8592698696,Apartment,157365.6494848283,0
207,or,1,25.669259227277763,1,Registered Independent,Other,Likely Af-Am (Modeled),Independent,259015.6687594203,Residential,485243.80164488306,0
208,nc,0,48.69406039879043,0,Non-Partisan,European,Greek,Independent,28884.75487312839,Residential,1658572.2802297613,0
209,me,1,49.219665779776356,1,Non-Partisan,East and South Asian,German,Republican,82433.96768421438,Residential,3081251.7344626426,0
210,tx,1,18.30869114793286,1,Republican,Other,English/Welsh,Independent,103105.51388335317,Residential,540925.4534309113,0
211,nj,0,25.373107240450324,1,Democratic,European,English/Welsh,Republican,80299.19025549004,Apartment,542027.2327521923,0
212,il,1,54.91547121592929,1,Non-Partisan,European,English/Welsh,Independent,70874.11585811025,Apartment,43010.39425530705,0
213,nh,1,39.55552186539262,1,Non-Partisan,European,English/Welsh,Democratic,104785.08088121618,Residential,497008.36785820243,0
214,ok,0,63.3087460648874,1,Republican,Likely African-American,Romanian,Democratic,51273.69755529953,Residential,293974.8730686764,0
215,tx,0,18.217328545893736,0,Democratic,Hispanic and Portuguese,African or Af-Am Self Reported,Democratic,10227.842872849124,Apartment,273950.4137023408,0
216,il,1,63.62164428973976,1,Democratic,European,Polish,Independent,58818.70120275969,Unknown,313952.5699985388,0
217,ny,1,47.06169613137213,1,Democratic,Other,Bhutanese,Democratic & Independent,84046.78554002002,Condominium,242555.06209343387,0
218,ca,0,49.3195806798895,1,Democratic,Hispanic and Portuguese,Italian,Democratic & Republican & Independent,106831.47920070514,Apartment,733598.9900165633,0
219,wi,1,54.35180741696131,1,Republican,Hispanic and Portuguese,Dutch (Netherlands),Republican,119326.81429887934,Apartment,131122.0979501325,1
220,wa,1,37.35797002200803,1,Democratic,Other,English/Welsh,Republican,87518.06234231016,Residential,379040.6979625858,1
221,ny,1,43.50550159427724,1,Democratic,Other,English/Welsh,Republican,253832.14786499552,Triplex,414402.70364500245,0
222,ca,1,43.85281496569607,1,Non-Partisan,European,English/Welsh,Independent,97197.81951733383,Unknown,579530.8069590346,0
223,ca,0,71.00135767261717,1,Democratic,European,English/Welsh,Republican,101514.25238397499,Residential,435456.22666114126,1
224,ms,1,55.304277329203565,1,Non-Partisan,European,English/Welsh,Independent,122624.10837192462,Unknown,352510.6090034615,0
225,oh,0,63.95374460365167,0,Democratic,Likely African-American,Swedish,Independent,17009.721342763594,Apartment,229872.8694567987,0
226,va,1,60.65192037427428,0,Republican,European,Polish,Republican,243055.825307627,Residential,274822.69882755826,0
227,in,1,39.93121996675062,1,Republican,European,English/Welsh,Republican & Independent,83032.00135255912,Duplex,337020.45989415445,1
228,pa,0,54.311402380791506,0,Republican,European,English/Welsh,Democratic & Republican,45081.896299889806,Apartment,293104.6717457982,0
