,state,voted,calculated_age,Voters_Gender,Parties_Description,EthnicGroups_EthnicGroup1Desc,Ethnic_Description,Residence_HHParties_Description,CommercialData_EstimatedIncomeAmount,CommercialData_PropertyType,CommercialData_EstHomeValue,nonpartisan_donation,row_index
18,la,1,22.0,0,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,93181.0,Apartment,187500.0,0,185297
19,md,1,72.0,0,Democratic,European,English/Welsh,Democratic,121000.0,Residential,381615.0,0,259624
20,ar,1,81.0,1,Democratic,European,English/Welsh,Democratic,37000.0,Residential,77859.0,1,357497
21,tx,1,37.0,0,Non-Partisan,European,English/Welsh,Independent,102683.0,Apartment,247812.0,0,190310
22,il,1,65.0,0,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic & Independent,62000.0,Residential,161783.0,1,344447
23,nc,1,35.0,0,Democratic,European,English/Welsh,Democratic,131000.0,Residential,119847.0,0,272132
24,va,1,34.0,1,Democratic,European,French,Democratic,86110.0,Unknown,301332.0,0,19464
25,ny,0,60.0,1,Non-Partisan,European,Italian,Independent,94000.0,Duplex,530147.0,0,128895
26,il,0,22.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic & Independent,59000.0,Apartment,214650.0,0,180051
27,ny,0,39.0,1,Democratic,European,Italian,Democratic,83172.0,Apartment,325000.0,1,131878
28,pa,1,54.0,1,Democratic,European,German,Democratic & Independent,71000.0,Residential,147244.0,0,248968
29,ca,0,23.0,0,Non-Partisan,East and South Asian,Vietnamese,Republican & Independent,88000.0,Residential,881099.0,0,388981
30,ky,0,63.0,0,Democratic,European,English/Welsh,Democratic,43000.0,Residential,176998.0,0,308493
31,md,0,63.0,0,Non-Partisan,,,Democratic & Independent,151854.0,Apartment,603358.0,0,138060
32,or,1,71.0,1,Republican,European,English/Welsh,Republican,91249.0,Residential,428872.0,0,106805
33,ak,1,,0,Unknown,European,English/Welsh,Republican & Independent,50380.0,Unknown,157432.0,0,111244
34,wi,1,,0,Republican,European,Polish,Republican & Independent,136000.0,Residential,327954.0,0,332604
35,mi,0,34.0,1,Non-Partisan,European,Irish,Independent,65542.0,Unknown,87500.0,0,57377
36,nv,0,30.0,0,Democratic,European,Swedish,Democratic,,Apartment,,0,202413
37,nc,1,30.0,1,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic & Independent,154000.0,Residential,256276.0,0,273709
38,ca,1,72.0,0,Republican,European,English/Welsh,Republican,,Unknown,,0,105172
39,fl,1,61.0,1,Republican,European,English/Welsh,Republican,191000.0,Residential,353519.0,1,287555
40,ky,1,63.0,0,Republican,European,English/Welsh,Republican,108000.0,Residential,187884.0,0,308785
41,fl,1,78.0,1,Republican,European,Italian,Republican,7000.0,Apartment,112500.0,0,158855
42,wv,1,48.0,1,Republican,European,English/Welsh,Republican,87000.0,Residential,130734.0,0,20836
43,tx,0,20.0,0,Democratic,European,English/Welsh,Democratic,114000.0,Apartment,230672.0,0,194276
44,il,1,18.0,0,Democratic,European,Irish,Democratic,126000.0,Residential,339834.0,0,342245
45,mi,1,27.0,1,Non-Partisan,European,French,Independent,70966.0,Unknown,160048.0,0,57268
46,ar,0,44.0,0,Non-Partisan,European,English/Welsh,Independent,44642.0,Unknown,102272.0,0,75475
47,ny,1,30.0,0,Republican,European,Italian,Democratic & Republican,84000.0,Residential,112029.0,0,244990
48,tx,1,40.0,0,Democratic,European,Italian,Democratic,42000.0,Residential,221262.0,0,371560
49,id,1,63.0,0,Republican,European,English/Welsh,Republican,22000.0,Residential,262500.0,0,379716
50,fl,1,57.0,0,Republican,European,English/Welsh,Republican,81000.0,Residential,361365.0,0,285856
51,mn,1,62.0,0,Democratic,European,English/Welsh,Democratic,58000.0,Residential,198738.0,1,339215
52,oh,1,47.0,0,Republican,European,Swedish,Republican,75000.0,Residential,205656.0,0,315875
53,mi,1,40.0,1,Republican,European,Scots,Republican,60000.0,Residential,236846.0,0,329480
54,tx,1,41.0,0,Democratic,European,English/Welsh,Democratic,227000.0,Residential,580733.0,0,373516
55,wi,0,,1,Democratic,,,Democratic,99367.0,Apartment,322572.0,0,174162
56,tx,1,31.0,1,Non-Partisan,European,English/Welsh,Independent,57908.0,Apartment,87500.0,0,188988
57,oh,1,58.0,0,Republican,European,Italian,Democratic & Republican,134000.0,Residential,212823.0,1,309295
58,tx,0,29.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,129000.0,Residential,272286.0,0,372541
59,va,0,27.0,0,Non-Partisan,Likely African-American,Likely Af-Am (Modeled),Independent,72499.0,Apartment,233706.0,0,141643
60,oh,1,30.0,0,Democratic,European,English/Welsh,Democratic & Independent,49152.0,Apartment,87500.0,1,166125
61,ca,1,70.0,1,Non-Partisan,Hispanic and Portuguese,Hispanic,Independent,32000.0,Residential,265925.0,0,391252
62,pa,1,44.0,1,Democratic,European,German,Democratic,34000.0,Residential,229975.0,1,251340
63,tx,1,28.0,1,Democratic,Hispanic and Portuguese,Hispanic,Democratic,107000.0,Residential,373809.0,0,372040
64,ca,1,29.0,0,Republican,European,English/Welsh,Republican,167000.0,Residential,879983.0,0,402811
65,mn,1,36.0,0,Non-Partisan,European,German,Independent,87000.0,Residential,39487.0,0,63153
66,tx,1,67.0,1,Republican,Hispanic and Portuguese,Hispanic,Republican,49499.0,Residential,137500.0,0,366315
67,nj,1,44.0,0,Non-Partisan,European,English/Welsh,Independent,193000.0,Residential,477848.0,0,238771
68,az,1,51.0,1,Republican,European,English/Welsh,Republican,187000.0,Residential,563914.0,0,381968
69,ny,0,93.0,1,Democratic,European,English/Welsh,Democratic,210951.0,Apartment,721874.0,0,121401
70,tx,1,79.0,1,Republican,European,Irish,Republican,32000.0,Residential,201956.0,1,361637
71,ks,1,64.0,0,Republican,European,English/Welsh,Republican,80730.0,Residential,122367.0,0,72224
72,ca,1,63.0,1,Democratic,European,English/Welsh,Democratic,173000.0,Residential,1149013.0,1,402074
73,ca,1,75.0,0,Republican,European,English/Welsh,Republican,47000.0,Residential,621302.0,1,104703
74,il,1,44.0,0,Non-Partisan,Hispanic and Portuguese,Hispanic,Independent,82000.0,Residential,236793.0,0,344765
75,mo,0,51.0,1,Non-Partisan,European,English/Welsh,Independent,70146.0,Unknown,160442.0,0,70229
76,nj,1,56.0,0,Non-Partisan,East and South Asian,Indian/Hindu,Independent,250000.0,Residential,569357.0,0,234379
77,tx,1,45.0,1,Democratic,European,English/Welsh,Democratic,123000.0,Residential,390475.0,0,365767
78,ma,1,82.0,1,Non-Partisan,East and South Asian,Chinese,Independent,250000.0,Residential,604390.0,0,227181
79,oh,0,24.0,0,Non-Partisan,European,English/Welsh,Independent,51443.0,Apartment,73124.0,0,166730
80,ky,1,84.0,0,Republican,,,Democratic & Republican,53000.0,Residential,129304.0,1,308319
81,id,1,56.0,0,Democratic,,,Democratic,72000.0,Residential,212500.0,1,89586
82,az,1,21.0,1,Democratic,East and South Asian,Chinese,Democratic & Independent,41000.0,Apartment,375000.0,0,200676
83,ca,1,27.0,0,Democratic,European,German,Democratic & Republican,51000.0,Residential,257829.0,0,104316
84,mo,1,41.0,0,Republican,European,English/Welsh,Republican,,Residential,187500.0,0,351740
85,oh,1,39.0,1,Democratic,European,Hungarian,Democratic & Independent,117000.0,Residential,315325.0,1,309713
86,md,1,22.0,0,Democratic,East and South Asian,Chinese,Democratic,168000.0,Residential,709554.0,0,260323
87,mi,0,41.0,1,Non-Partisan,,,Independent,70086.0,Unknown,157213.0,0,54681
88,md,1,49.0,0,Republican,European,Italian,Republican,244000.0,Residential,783554.0,0,259989
89,oh,1,33.0,0,Non-Partisan,European,English/Welsh,Democratic & Independent,77000.0,Residential,163336.0,0,317066
90,wa,1,62.0,0,Republican,,,Republican,140263.0,Residential,625000.0,1,408972
91,pa,0,23.0,1,Non-Partisan,Likely African-American,Likely Af-Am (Modeled),Democratic & Independent,68905.0,Residential,144375.0,0,12100
92,ok,1,40.0,0,Non-Partisan,European,Irish,Democratic & Republican & Independent,151000.0,Residential,77208.0,0,360247
93,ca,1,37.0,1,Democratic,European,English/Welsh,Democratic & Independent,169000.0,Residential,848277.0,0,100810
94,ny,1,77.0,1,Conservative,European,English/Welsh,Independent,104422.0,Residential,237500.0,0,246666
95,me,1,66.0,1,Republican,European,English/Welsh,Republican,112000.0,Residential,224175.0,0,229725
96,mn,0,62.0,0,Non-Partisan,European,Irish,Independent,86023.0,Unknown,226946.0,0,61879
97,ca,1,23.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,13000.0,Duplex,284055.0,0,217098
98,tx,1,75.0,0,Republican,European,English/Welsh,Republican,49000.0,Residential,219318.0,0,367236
99,oh,1,53.0,0,Republican,European,French,Democratic & Republican,139000.0,Residential,350879.0,1,314914
100,nj,1,18.0,0,Republican,European,Scots,Republican,250000.0,Residential,1234761.0,0,234349
101,ca,1,82.0,0,Republican,European,Irish,Republican,53000.0,Residential,673884.0,1,400835
102,pa,1,42.0,0,Republican,European,English/Welsh,Republican,78000.0,Duplex,124709.0,0,133965
103,nc,1,59.0,1,Non-Partisan,European,Italian,Independent,136395.0,Residential,331327.0,0,22965
104,nc,1,72.0,0,Republican,European,English/Welsh,Republican,12000.0,Residential,45736.0,0,25264
105,mi,1,72.0,1,Republican,European,German,Republican,67000.0,Residential,167596.0,0,57262
106,fl,1,69.0,0,Republican,Hispanic and Portuguese,Hispanic,Republican,43749.0,Apartment,148749.0,0,151767
107,tn,1,31.0,0,Non-Partisan,Hispanic and Portuguese,Hispanic,Independent,51692.0,Unknown,149606.0,0,43377
108,ga,1,51.0,1,Republican,European,English/Welsh,Republican & Independent,177000.0,Residential,265523.0,0,280190
109,in,0,74.0,1,Non-Partisan,European,English/Welsh,Independent,15000.0,Residential,52035.0,0,321469
110,tx,1,27.0,0,Republican,European,German,Republican,113000.0,Residential,164549.0,0,86877
111,mn,1,79.0,1,Republican,European,Czech,Republican,73000.0,Residential,375000.0,1,338039
112,ma,1,31.0,0,Non-Partisan,European,Irish,Independent,95000.0,Residential,325877.0,0,225179
113,la,1,,1,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,20000.0,Residential,15559.0,0,354323
114,ny,1,52.0,0,Democratic,European,Polish,Democratic & Independent,137000.0,Apartment,334823.0,1,131116
115,me,1,37.0,0,Non-Partisan,European,English/Welsh,Independent,69000.0,Residential,327332.0,0,229896
116,sc,1,60.0,0,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,59399.0,Residential,212500.0,0,26264
117,ga,0,54.0,0,Democratic,European,English/Welsh,Democratic & Republican,81000.0,Triplex,425000.0,0,149773
118,pa,1,53.0,0,Republican,,,Republican,64082.0,Residential,137500.0,1,252840
119,mi,0,21.0,0,Democratic,Other,Arab,Democratic,14849.0,Unknown,78570.0,0,54220
120,ms,1,68.0,1,Republican,European,English/Welsh,Republican,102177.0,Residential,87500.0,0,305017
121,ia,1,23.0,1,Democratic,,,Democratic & Republican,70330.0,Unknown,123546.0,0,59396
122,tn,1,42.0,1,Republican,European,English/Welsh,Republican,96000.0,Residential,222041.0,0,304071
123,nc,1,51.0,1,Non-Partisan,European,English/Welsh,Independent,100000.0,Residential,226443.0,0,268876
124,pa,1,56.0,0,Republican,European,German,Republican,101000.0,Residential,167228.0,0,255022
125,tn,0,52.0,0,Non-Partisan,Hispanic and Portuguese,Hispanic,Independent,38000.0,Residential,109578.0,0,302113
126,me,1,44.0,1,Democratic,European,French,Democratic,181000.0,Triplex,287500.0,0,115555
127,al,0,20.0,0,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,35000.0,Apartment,113689.0,0,159127
128,ny,1,51.0,1,Republican,European,Irish,Republican & Independent,138000.0,Residential,307399.0,0,240315
129,pa,0,32.0,1,Libertarian,European,English/Welsh,Republican & Independent,60000.0,Residential,77076.0,1,251317
130,pa,1,24.0,0,Democratic,European,French,Democratic,21070.0,Apartment,197726.0,0,136127
131,sc,1,66.0,1,Democratic,European,English/Welsh,Democratic,40000.0,Residential,133465.0,0,276856
132,ga,1,20.0,1,Non-Partisan,European,English/Welsh,Democratic & Independent,80609.0,Residential,265354.0,0,279224
133,fl,1,50.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic & Republican,38000.0,Residential,280463.0,0,289489
134,mo,0,27.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,78592.0,Residential,142127.0,0,349901
135,mo,1,36.0,1,Non-Partisan,European,German,Independent,114000.0,Residential,234179.0,0,349840
136,ma,1,61.0,1,Democratic,European,German,Democratic,90000.0,Apartment,262500.0,1,111483
137,ca,1,36.0,0,Democratic,European,English/Welsh,Democratic,83000.0,Apartment,824924.0,0,207010
138,ma,0,53.0,1,Non-Partisan,European,Italian,Independent,250000.0,Residential,3250482.0,0,227173
139,ok,1,53.0,1,Democratic,East and South Asian,Korean,Democratic & Republican,79000.0,Residential,184083.0,1,77010
140,oh,1,57.0,1,Republican,European,German,Republican,65899.0,Residential,66666.0,1,309570
141,nc,1,60.0,1,Republican,European,German,Republican,47000.0,Residential,87669.0,1,273669
142,pa,1,30.0,1,Non-Partisan,European,Polish,Independent,78000.0,Residential,229950.0,0,253573
143,nj,1,56.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,15000.0,Residential,132415.0,0,6777
144,ca,1,58.0,1,Democratic,European,Italian,Democratic & Independent,149000.0,Residential,644789.0,0,103913
145,mo,1,39.0,0,Non-Partisan,European,English/Welsh,Independent,121832.0,Unknown,315713.0,0,68910
146,in,1,73.0,1,Republican,East and South Asian,Korean,Republican,64000.0,Residential,226486.0,1,319287
147,tx,0,23.0,1,Democratic,Hispanic and Portuguese,Hispanic,Democratic,62764.0,Residential,77217.0,0,79415
148,la,1,42.0,1,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic & Independent,169000.0,Residential,415840.0,0,73137
149,tx,0,54.0,1,Democratic,Hispanic and Portuguese,Hispanic,Democratic & Republican,78976.0,Residential,174200.0,0,363075
150,la,1,87.0,0,Republican,European,French,Republican,61999.0,Residential,162500.0,1,354314
151,il,1,49.0,0,Non-Partisan,East and South Asian,Indian/Hindu,Independent,206000.0,Residential,473467.0,0,345746
152,wi,1,68.0,0,Republican,European,Hungarian,Republican,77000.0,Residential,321043.0,0,332723
153,nj,1,42.0,0,Non-Partisan,East and South Asian,Chinese,Democratic & Independent,250000.0,Residential,849140.0,0,235583
154,sc,1,47.0,0,Republican,European,Scots,Republican,98000.0,Residential,116705.0,0,277689
155,fl,1,46.0,0,Non-Partisan,European,Irish,Democratic & Independent,73000.0,Residential,217604.0,0,285553
156,tx,0,36.0,1,Democratic,Hispanic and Portuguese,Hispanic,Democratic,133000.0,Residential,259913.0,0,84660
157,fl,1,80.0,1,Republican,Hispanic and Portuguese,Hispanic,Republican,31562.0,Apartment,159846.0,0,153825
158,ms,1,86.0,1,Republican,European,English/Welsh,Republican,62787.0,Residential,87500.0,0,305150
159,fl,0,60.0,0,Registered Independent,Hispanic and Portuguese,Hispanic,Independent,67499.0,Apartment,180469.0,0,155544
160,ga,0,44.0,0,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic & Republican,49000.0,Residential,138143.0,0,282833
161,ok,0,25.0,0,Non-Partisan,European,English/Welsh,Independent,73341.0,Apartment,161073.0,0,187574
162,ny,1,18.0,0,Republican,European,French,Republican,101601.0,Residential,212500.0,0,246043
163,mo,1,75.0,0,Republican,European,English/Welsh,Republican,47000.0,Residential,212089.0,1,352374
164,tx,0,47.0,0,Non-Partisan,European,English/Welsh,Independent,57000.0,Duplex,83829.0,0,191310
165,or,1,39.0,1,Democratic,East and South Asian,Vietnamese,Democratic & Independent,59000.0,Condominium,222479.0,0,107274
166,tn,1,76.0,1,Republican,European,English/Welsh,Republican,62000.0,Residential,250453.0,0,302870
167,ca,1,32.0,1,Republican,European,English/Welsh,Republican,94289.0,Apartment,552462.0,0,205754
168,or,0,22.0,0,Republican,European,English/Welsh,Democratic & Republican,121093.0,Residential,455447.0,0,107896
169,ar,0,72.0,0,Non-Partisan,European,English/Welsh,Independent,250000.0,Residential,444457.0,0,356954
170,pa,0,26.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic & Independent,71000.0,Residential,141880.0,0,255480
171,co,1,57.0,0,Non-Partisan,European,German,Republican & Independent,196000.0,Residential,834793.0,0,377374
172,nc,0,64.0,0,Non-Partisan,European,Italian,Independent,98702.0,Apartment,287500.0,0,145321
173,wa,1,62.0,0,Republican,European,English/Welsh,Republican,41000.0,Apartment,89499.0,0,222397
174,ny,0,50.0,1,Democratic,East and South Asian,Chinese,Democratic & Independent,96922.0,Apartment,349374.0,0,126158
175,fl,1,36.0,1,Republican,Hispanic and Portuguese,Hispanic,Republican,250000.0,Residential,806812.0,0,291060
176,mo,1,75.0,1,Republican,Other,Russian (omitting former Soviet States),Democratic & Republican,160000.0,Residential,322257.0,0,351649
177,pa,1,22.0,0,Republican,European,Polish,Democratic & Republican,31000.0,Residential,79878.0,0,12953
178,nj,0,49.0,0,Non-Partisan,Other,Arab,Independent,196000.0,Apartment,516419.0,0,118664
179,ny,1,37.0,0,Republican,European,English/Welsh,Republican,89000.0,Residential,593279.0,1,241345
180,ca,1,74.0,0,Republican,European,English/Welsh,Republican,200000.0,Residential,723792.0,1,391281
181,al,0,,1,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic & Republican,79967.0,Unknown,175703.0,0,39213
182,va,1,39.0,1,Democratic,East and South Asian,Korean,Democratic,182000.0,Apartment,266518.0,1,141089
183,mo,0,37.0,1,Non-Partisan,European,German,Independent,28000.0,Residential,142667.0,0,69389
184,id,1,87.0,0,Democratic,European,English/Welsh,Democratic & Republican,38000.0,Residential,259821.0,1,379591
185,in,0,56.0,0,Democratic,European,English/Welsh,Democratic,38320.0,Apartment,64666.0,0,168086
186,il,1,38.0,0,Democratic,European,Irish,Democratic,59000.0,Apartment,257700.0,0,179371
187,ca,1,22.0,0,Democratic,East and South Asian,Chinese,Democratic,91000.0,Condominium,522534.0,0,396337
188,va,1,60.0,0,Non-Partisan,European,Dutch (Netherlands),Democratic & Independent,81000.0,Apartment,446799.0,0,141020
189,co,1,57.0,0,Republican,European,French,Republican,93000.0,Residential,583397.0,0,376228
190,il,1,79.0,1,Republican,European,English/Welsh,Republican,10000.0,Residential,147785.0,0,348624
191,co,1,72.0,0,Non-Partisan,European,English/Welsh,Independent,108852.0,Unknown,491762.0,1,87483
192,fl,1,21.0,0,Republican,European,German,Republican,99356.0,Residential,625000.0,0,35760
193,ga,1,49.0,1,Non-Partisan,European,Scots,Independent,42000.0,Residential,184976.0,0,282059
194,in,1,57.0,0,Republican,European,English/Welsh,Republican,98000.0,Residential,281767.0,0,321291
195,ny,0,19.0,0,Republican,,,Republican & Independent,57000.0,Residential,203709.0,0,244429
196,ok,1,70.0,1,Non-Partisan,European,English/Welsh,Independent,41000.0,Residential,215970.0,0,360180
197,ny,1,67.0,1,Non-Partisan,European,Greek,Independent,78000.0,Duplex,857909.0,1,239004
198,ky,1,78.0,1,Democratic,European,German,Democratic,83000.0,Residential,208390.0,0,307747
199,ny,1,33.0,0,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,90000.0,Apartment,425000.0,0,124762
200,ny,1,23.0,1,Non-Partisan,European,Norwegian,Democratic & Republican & Independent,114000.0,Residential,263169.0,0,244441
201,tx,0,25.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,88000.0,Residential,229780.0,0,86593
202,az,1,79.0,1,Republican,East and South Asian,Japanese,Republican,36477.0,Unknown,112039.0,1,92773
203,vt,1,77.0,1,Democratic,European,English/Welsh,Democratic,38000.0,Residential,625000.0,0,230306
204,nc,1,72.0,0,Republican,European,English/Welsh,Republican,76000.0,Duplex,287674.0,0,144217
205,mi,0,31.0,0,Democratic,European,English/Welsh,Democratic,64749.0,Unknown,117812.0,0,57895
206,wa,0,51.0,0,Republican,European,German,Republican,64000.0,Residential,192201.0,1,110388
207,mi,1,71.0,1,Republican,European,Scots,Republican,90000.0,Residential,384734.0,0,329248
208,md,1,56.0,0,Non-Partisan,Likely African-American,Likely Af-Am (Modeled),Democratic & Independent,82000.0,Residential,245979.0,0,261884
209,nj,1,29.0,0,Republican,East and South Asian,Chinese,Republican,219000.0,Residential,722387.0,0,237745
210,mi,1,64.0,1,Non-Partisan,European,English/Welsh,Independent,49000.0,Residential,166577.0,0,326639
211,al,0,28.0,0,Republican,European,English/Welsh,Republican,126023.0,Apartment,243108.0,0,159946
212,va,1,61.0,1,Democratic,European,Scots,Democratic,46000.0,Residential,78826.0,0,20313
213,ca,1,69.0,0,Democratic,East and South Asian,Japanese,Democratic,89715.0,Unknown,293548.0,0,104226
214,nj,1,82.0,0,Democratic,East and South Asian,Indian/Hindu,Democratic,104000.0,Residential,259469.0,0,236874
215,or,1,47.0,0,Republican,European,English/Welsh,Republican,221000.0,Residential,609529.0,0,406171
216,tx,1,28.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,30624.0,Apartment,72499.0,0,195280
217,oh,0,25.0,0,Non-Partisan,European,English/Welsh,Republican & Independent,70000.0,Residential,121694.0,0,316560
218,nv,1,65.0,1,Democratic,Hispanic and Portuguese,Hispanic,Democratic,83715.0,Unknown,247002.0,0,94784
219,al,0,30.0,1,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,45645.0,Unknown,84205.0,0,39756
220,co,1,59.0,1,Republican,European,German,Republican,250000.0,Residential,259808.0,0,377299
221,tx,1,39.0,0,Democratic,European,English/Welsh,Democratic,204000.0,Residential,393429.0,0,361820
222,nc,1,37.0,1,Democratic,European,English/Welsh,Democratic,70160.0,Apartment,168656.0,0,143210
223,mi,1,30.0,0,Democratic,European,Polish,Democratic,100292.0,Residential,237500.0,0,327584
224,ga,0,26.0,1,Non-Partisan,European,Italian,Independent,69573.0,Unknown,162117.0,0,29894
225,ca,1,80.0,1,Democratic,Hispanic and Portuguese,Hispanic,Democratic,20000.0,Duplex,625000.0,0,206026
226,ca,1,66.0,0,American Independent,European,English/Welsh,Democratic & Independent,92000.0,Residential,719375.0,0,401854
227,md,1,65.0,0,Democratic,European,English/Welsh,Democratic,220535.0,Residential,625000.0,1,259559
228,ks,1,63.0,0,Republican,European,English/Welsh,Democratic & Republican,100000.0,Residential,212500.0,1,352029
229,va,0,49.0,1,Democratic,,,Democratic,83000.0,Residential,310404.0,0,265993
230,fl,1,67.0,1,Republican,Hispanic and Portuguese,Hispanic,Republican,50179.0,Apartment,137716.0,0,153917
231,tx,1,79.0,0,Republican,European,English/Welsh,Republican,92000.0,Residential,303584.0,1,374634
232,az,1,50.0,0,Republican,Hispanic and Portuguese,Hispanic,Republican,91602.0,Apartment,274700.0,0,199999
233,fl,1,69.0,0,Republican,European,English/Welsh,Republican,250000.0,Residential,283545.0,0,286283
234,fl,1,61.0,0,Republican,European,French,Republican,210000.0,Residential,645479.0,0,291980
235,fl,1,54.0,1,Republican,European,Irish,Republican,53749.0,Apartment,125178.0,1,158580
236,il,1,40.0,1,Non-Partisan,European,Hungarian,Republican & Independent,128000.0,Residential,82539.0,0,346353
237,ny,1,71.0,1,Republican,East and South Asian,Chinese,Republican & Independent,92000.0,Residential,564358.0,0,241093
238,mi,1,63.0,1,Republican,European,Dutch (Netherlands),Republican,33000.0,Residential,186348.0,0,329519
239,ny,1,78.0,1,Democratic,European,German,Democratic,17000.0,Residential,288893.0,1,245366
240,ca,1,35.0,0,Democratic,European,English/Welsh,Democratic,,Unknown,,0,106088
241,ca,0,45.0,0,Democratic,European,Scots,Democratic,36469.0,Apartment,294999.0,0,215946
242,nd,1,34.0,1,Republican,European,English/Welsh,Republican,68000.0,Residential,62500.0,0,64079
243,tx,0,22.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,39749.0,Unknown,93873.0,0,78675
244,tx,1,45.0,0,Democratic,European,Irish,Democratic,59000.0,Residential,334880.0,1,371467
245,sc,1,78.0,1,Republican,East and South Asian,Vietnamese,Republican,45000.0,Residential,192161.0,1,277873
246,ca,1,33.0,1,Non-Partisan,Hispanic and Portuguese,Hispanic,Independent,69000.0,Residential,404573.0,0,394070
247,pa,1,59.0,1,Republican,European,Irish,Democratic & Republican,87000.0,Residential,260191.0,1,256588
248,sc,1,60.0,1,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,45000.0,Residential,82902.0,0,276168
249,va,1,46.0,0,Democratic,East and South Asian,Indian/Hindu,Democratic & Republican,250000.0,Residential,865596.0,0,262655
250,in,1,29.0,1,Republican,European,Irish,Republican,55166.0,Unknown,90580.0,0,52342
251,ca,1,55.0,1,Republican,European,English/Welsh,Democratic & Republican & Independent,99000.0,Residential,195556.0,0,397953
252,in,1,66.0,1,Republican,European,English/Welsh,Democratic & Republican,70156.0,Unknown,115702.0,0,52627
253,nj,0,70.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic,154113.0,Apartment,352764.0,0,118380
254,fl,1,74.0,0,Republican,European,Scots,Republican,141000.0,Residential,433107.0,0,287476
255,al,0,21.0,1,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic,72499.0,Apartment,253463.0,0,158763
256,az,1,47.0,0,Registered Independent,European,English/Welsh,Independent,25000.0,Residential,66666.0,1,384910
257,pa,1,51.0,1,Democratic,Likely African-American,Likely Af-Am (Modeled),Democratic,65000.0,Residential,149403.0,1,252755
258,fl,1,29.0,0,Non-Partisan,Hispanic and Portuguese,Hispanic,Independent,43570.0,Apartment,238570.0,0,154440
