"","state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation"
"57","oh","0",38,"0","Democratic","European","Democratic",24000,"Apartment",110348,"0"
"58","ar","1",65,"0","Republican","European","Republican & Independent",60000,"Residential",46030,"0"
"59","tx","1",79,"1","Democratic","European","Democratic",35000,"Apartment",112500,"1"
"60","nc","0",44,"1","Non-Partisan","European","Independent",65000,"Apartment",181992,"0"
"61","ma","1",78,"1","Non-Partisan","European","Democratic & Independent",NA,"Residential",NA,"1"
"62","va","0",41,"0","Republican","European","Republican",65356,"Residential",198446,"0"
"63","mi","1",27,"1","Republican","European","Republican",79000,"Residential",282044,"0"
"64","ky","1",31,"0","Democratic","Likely African-American","Democratic & Republican",80000,"Residential",170917,"0"
"65","wi","1",67,"0","Non-Partisan","European","Independent",68467,"Residential",297499,"0"
"66","ri","0",66,"1","Non-Partisan","European","Democratic & Independent",69100,"Triplex",235816,"0"
"67","tx","1",73,"0","Republican","European","Republican",49523,"Residential",165687,"0"
"68","fl","1",29,"0","Republican","Hispanic and Portuguese","Republican & Independent",128471,"Residential",325555,"0"
"69","md","1",NA,"0","Democratic","Likely African-American","Democratic",250000,"Residential",NA,"0"
"70","ma","1",50,"1","Democratic","European","Democratic & Independent",133000,"Residential",282142,"0"
"71","ny","1",20,"1","Independence","European","Independent",195000,"Residential",625000,"0"
"72","az","1",18,"0","Republican","European","Republican",116938,"Residential",477867,"0"
"73","ca","1",50,"1","Republican","","Republican",118000,"Apartment",358002,"0"
"74","ca","1",89,"0","Democratic","European","Democratic",63071,"Apartment",262073,"0"
"75","ak","1",NA,"1","Democratic","European","Democratic",65443,"Residential",NA,"0"
"76","ca","1",33,"0","Non-Partisan","European","Democratic & Independent",119000,"Apartment",769656,"0"
"77","tx","0",20,"1","Republican","European","Republican",64936,"Residential",142856,"1"
"78","nj","1",63,"0","Non-Partisan","","Republican & Independent",220651,"Residential",238236,"0"
"79","az","0",23,"1","Non-Partisan","Hispanic and Portuguese","Democratic & Independent",74000,"Residential",146514,"0"
"80","ia","1",70,"0","Republican","European","Republican",26000,"Residential",176363,"1"
"81","ca","1",69,"1","Republican","Likely African-American","Republican",118000,"Residential",615477,"1"
"82","ok","0",60,"0","Republican","European","Republican",78000,"Residential",89499,"0"
"83","oh","1",59,"0","Democratic","European","Democratic",46000,"Residential",39749,"0"
"84","wa","1",38,"1","Non-Partisan","","Democratic & Independent",250000,"Residential",1317960,"0"
"85","or","1",73,"0","Non-Partisan","European","Independent",110687,"Residential",463112,"1"
"86","fl","1",61,"0","Democratic","Hispanic and Portuguese","Democratic",33570,"Unknown",189088,"0"
"87","ca","1",69,"1","Non-Partisan","European","Independent",128456,"Apartment",803580,"0"
"88","nj","1",78,"0","Republican","European","Republican",242000,"Residential",1225011,"1"
"89","pa","0",26,"1","Non-Partisan","Other","Independent",32000,"Unknown",110328,"0"
"90","oh","1",35,"1","Republican","European","Republican",31000,"Residential",314843,"0"
"91","or","0",33,"1","Non-Partisan","East and South Asian","Independent",162000,"Residential",415035,"0"
"92","az","0",19,"1","Non-Partisan","Hispanic and Portuguese","Independent",46825,"Unknown",106561,"0"
"93","mi","1",59,"1","Republican","East and South Asian","Republican",111000,"Apartment",265924,"0"
"94","ca","0",39,"1","Non-Partisan","European","Democratic & Independent",50416,"Unknown",399226,"0"
"95","tx","1",30,"0","Republican","European","Republican",71028,"Residential",128648,"0"
"96","ny","0",18,"0","Republican","","Republican & Independent",250000,"Apartment",380555,"0"
"97","co","1",20,"0","Non-Partisan","European","Independent",83021,"Residential",452764,"0"
"98","ks","1",75,"1","Democratic","European","Democratic",52999,"Residential",449999,"1"
"99","il","0",42,"0","Democratic","European","Democratic",82390,"Apartment",326224,"0"
"100","pa","1",67,"0","Republican","European","Democratic & Republican",29691,"Residential",327329,"1"
"101","fl","1",53,"1","Democratic","Likely African-American","Democratic",38124,"Unknown",239224,"1"
"102","mi","0",46,"1","Democratic","European","Democratic",68570,"Apartment",198150,"0"
"103","nc","1",25,"1","Non-Partisan","Likely African-American","Democratic & Independent",67030,"Residential",197320,"0"
"104","va","1",77,"0","Democratic","Likely African-American","Democratic",59000,"Residential",294443,"1"
"105","nc","1",57,"1","Democratic","European","Democratic",65000,"Residential",88971,"0"
"106","wi","1",NA,"1","Democratic","European","Democratic",250000,"Residential",492605,"0"
"107","mn","1",61,"0","Republican","European","Republican",NA,"Unknown",106640,"1"
"108","ga","1",42,"1","Democratic","Hispanic and Portuguese","Democratic",47000,"Unknown",230989,"0"
"109","ca","1",78,"0","Democratic","Other","Democratic",27000,"Residential",355264,"0"
"110","wi","0",NA,"1","Democratic","European","Democratic",99000,"Residential",162500,"0"
"111","ky","1",51,"1","Democratic","Likely African-American","Democratic",15000,"Apartment",76428,"0"
"112","ut","1",27,"1","American Independent","European","Independent",87036,"Residential",434693,"0"
"113","nc","1",28,"1","Democratic","Hispanic and Portuguese","Democratic & Independent",69000,"Residential",211845,"0"
"114","wi","0",34,"0","Non-Partisan","European","Independent",34000,"Residential",239473,"0"
"115","nc","1",39,"1","Non-Partisan","European","Independent",56000,"Unknown",165488,"1"
"116","fl","1",30,"1","Non-Partisan","European","Democratic & Independent",65000,"Condominium",229309,"0"
"117","ny","1",35,"0","Republican","Hispanic and Portuguese","Republican & Independent",112945,"Residential",306359,"0"
"118","pa","0",18,"1","Democratic","European","Democratic",43928,"Apartment",180878,"0"
"119","ny","1",76,"1","Non-Partisan","European","Republican & Independent",30892,"Residential",475000,"1"
"120","ky","1",46,"1","Democratic","Likely African-American","Democratic & Independent",25542,"Residential",161334,"0"
"121","va","1",68,"1","Democratic","Likely African-American","Democratic",54422,"Residential",456759,"0"
"122","il","1",31,"1","Non-Partisan","European","Independent",78570,"Unknown",201811,"0"
"123","nm","1",40,"0","Democratic","Hispanic and Portuguese","Democratic",47238,"Residential",162500,"1"
"124","fl","1",60,"1","Democratic","Hispanic and Portuguese","Democratic & Republican",22000,"Residential",438461,"1"
"125","mo","1",38,"1","Democratic","European","Democratic",84895,"Unknown",250636,"0"
"126","tx","1",80,"0","Republican","European","Republican",191841,"Residential",352810,"1"
"127","ky","1",72,"1","Democratic","European","Democratic",54015,"Condominium",305658,"1"
"128","al","1",76,"0","Republican","European","Republican",229000,"Residential",688287,"0"
"129","va","0",22,"1","Republican","European","Republican",99000,"Apartment",427396,"0"
"130","va","1",57,"1","Republican","European","Republican",250000,"Residential",475000,"0"
"131","wa","1",42,"1","Non-Partisan","European","Independent",147272,"Apartment",1228282,"0"
"132","ms","0",65,"0","Non-Partisan","European","Independent",29582,"Apartment",62500,"0"
"133","ny","1",53,"0","Democratic","European","Democratic",148000,"Residential",333907,"1"
"134","tx","1",38,"0","Non-Partisan","European","Independent",77000,"Residential",100788,"0"
"135","pa","1",17,"1","Democratic","","Democratic & Independent",167000,"Unknown",132356,"0"
"136","tn","1",40,"0","Republican","European","Republican",32000,"Residential",264982,"1"
"137","ca","1",75,"1","Republican","European","Republican",99285,"Residential",428514,"1"
"138","tx","1",38,"0","Non-Partisan","Other","Independent",NA,"Unknown",NA,"0"
"139","sc","1",76,"0","Democratic","Likely African-American","Democratic",12000,"Residential",105522,"0"
"140","mo","1",38,"0","Republican","European","Republican",125000,"Residential",196694,"0"
"141","il","1",50,"1","Democratic","European","Democratic",198000,"Apartment",NA,"0"
"142","fl","1",64,"0","Democratic","Hispanic and Portuguese","Democratic",99000,"Residential",156253,"0"
"143","tx","1",67,"1","Republican","European","Republican",191000,"Residential",389999,"0"
"144","ca","1",49,"1","Democratic","Hispanic and Portuguese","Democratic & Independent",87571,"Residential",421228,"0"
"145","tx","0",73,"1","Democratic","Likely African-American","Democratic",67000,"Unknown",112500,"0"
"146","tx","0",22,"0","Democratic","Hispanic and Portuguese","Democratic",37000,"Apartment",89499,"0"
"147","or","1",57,"1","Non-Partisan","European","Independent",175000,"Residential",338036,"0"
"148","va","0",21,"0","Non-Partisan","European","Independent",105427,"Unknown",177128,"1"
"149","tx","1",69,"0","Democratic","Likely African-American","Democratic",34000,"Apartment",123624,"0"
"150","va","1",46,"0","Democratic","","Democratic",199000,"Residential",565088,"0"
"151","ca","1",66,"0","Democratic","Hispanic and Portuguese","Democratic",82000,"Residential",225115,"0"
"152","ma","0",18,"1","Non-Partisan","European","Independent",65000,"Residential",296120,"0"
"153","va","0",48,"0","Republican","East and South Asian","Republican",76922,"Residential",222641,"0"
"154","nj","1",48,"0","Non-Partisan","European","Democratic & Independent",85178,"Apartment",334243,"0"
"155","wi","1",65,"0","Republican","European","Republican",55000,"Residential",197124,"1"
"156","nc","1",61,"0","Republican","European","Republican",38000,"Residential",226171,"1"
"157","tx","1",45,"0","Non-Partisan","Hispanic and Portuguese","Independent",72367,"Residential",278826,"0"
"158","il","1",39,"1","Non-Partisan","","Independent",189000,"Apartment",269846,"0"
"159","mt","1",22,"1","Republican","European","Republican",250000,"Residential",390419,"0"
"160","ny","1",61,"0","Republican","Hispanic and Portuguese","Democratic & Republican",107674,"Apartment",420740,"0"
"161","mn","1",74,"0","Non-Partisan","European","Independent",59768,"Residential",118028,"0"
"162","in","0",47,"1","Non-Partisan","European","Democratic & Independent",43552,"Apartment",56521,"0"
"163","sc","0",24,"0","Democratic","European","Democratic",110000,"Residential",344568,"0"
"164","me","1",40,"1","Non-Partisan","","Independent",25000,"Residential",125845,"0"
"165","vt","1",79,"1","Republican","European","Republican",97000,"Residential",228288,"1"
"166","md","1",58,"0","Non-Partisan","East and South Asian","Independent",146609,"Residential",495390,"0"
"167","tx","0",36,"1","Non-Partisan","Likely African-American","Independent",22000,"Unknown",89061,"0"
"168","co","0",37,"0","Democratic","European","Democratic",119964,"Unknown",428556,"0"
"169","ga","0",28,"0","Democratic","Likely African-American","Democratic",36041,"Triplex",140908,"0"
"170","in","0",44,"1","Democratic","Likely African-American","Democratic",67000,"Apartment",217898,"0"
"171","ca","1",29,"1","American Independent","European","Independent",51562,"Apartment",168268,"0"
"172","in","1",28,"0","Republican","European","Republican",70000,"Residential",157110,"0"
"173","va","0",38,"0","Non-Partisan","","Independent",131000,"Residential",424999,"0"
"174","wa","1",58,"0","Non-Partisan","European","Independent",65000,"Unknown",282839,"0"
"175","va","1",20,"1","Republican","European","Republican",81000,"Residential",239219,"0"
"176","ca","1",47,"0","Republican","European","Republican",250000,"Residential",3912838,"0"
"177","tn","0",32,"0","Republican","European","Republican & Independent",93657,"Residential",427396,"0"
"178","az","1",41,"1","Democratic","Hispanic and Portuguese","Democratic",35000,"Apartment",129544,"0"
"179","az","0",29,"1","Other","Hispanic and Portuguese","Independent",25000,"Residential",112500,"0"
"180","fl","1",71,"0","Non-Partisan","Other","Democratic & Independent",66283,"Residential",457499,"0"
"181","mo","1",54,"0","Republican","European","Republican",196000,"Residential",960586,"1"
"182","ks","1",65,"1","Republican","European","Republican",86000,"Unknown",160205,"0"
"183","tx","1",92,"1","Democratic","Hispanic and Portuguese","Democratic",36612,"Residential",70610,"1"
"184","wv","1",27,"1","Democratic","European","Democratic",41195,"Residential",84999,"0"
"185","ms","1",87,"0","Republican","European","Republican",80241,"Residential",232633,"1"
"186","oh","1",24,"1","Democratic","Likely African-American","Democratic & Independent",55252,"Residential",112500,"0"
"187","nc","1",49,"1","Non-Partisan","Hispanic and Portuguese","Independent",22000,"Unknown",81475,"0"
"188","ma","1",72,"0","Non-Partisan","European","Independent",79910,"Residential",1220557,"0"
"189","ca","0",22,"1","Democratic","","Democratic",250000,"Apartment",875000,"0"
"190","ca","1",64,"1","Democratic","European","Democratic & Independent",66000,"Apartment",231640,"0"
"191","la","0",21,"1","Democratic","Likely African-American","Democratic",57243,"Apartment",112500,"0"
"192","la","0",71,"1","Republican","","Republican",10000,"Residential",84730,"0"
"193","tx","0",49,"1","Republican","European","Republican",121000,"Residential",325000,"0"
"194","tx","1",32,"1","Democratic","Likely African-American","Democratic",55000,"Residential",37500,"0"
"195","ca","1",61,"0","Republican","Hispanic and Portuguese","Republican & Independent",29000,"Residential",155255,"0"
"196","mi","1",56,"1","Democratic","European","Democratic & Republican",11000,"Residential",215322,"0"
"197","az","1",57,"1","Non-Partisan","Hispanic and Portuguese","Independent",NA,"Apartment",NA,"0"
"198","de","1",56,"0","Republican","European","Republican",48000,"Residential",153895,"0"
"199","ma","0",21,"1","Non-Partisan","Hispanic and Portuguese","Independent",82000,"Apartment",258534,"0"
"200","ca","1",64,"1","Republican","","Republican & Independent",80578,"Residential",423450,"0"
"201","ma","0",63,"0","Democratic","Other","Democratic & Independent",93547,"Apartment",493907,"0"
"202","sc","1",73,"1","Democratic","European","Democratic",34422,"Unknown",205917,"0"
"203","tx","1",49,"1","Democratic","Likely African-American","Democratic",92000,"Residential",112500,"1"
"204","nc","1",74,"0","Non-Partisan","European","Republican & Independent",123000,"Residential",541666,"1"
"205","ut","1",24,"0","Republican","European","Republican",189000,"Residential",625000,"0"
"206","ny","1",19,"1","Democratic","Hispanic and Portuguese","Democratic",219939,"Apartment",1117565,"0"
"207","md","1",62,"1","Democratic","Likely African-American","Democratic",63000,"Apartment",454556,"0"
"208","fl","1",30,"0","Non-Partisan","","Republican & Independent",93000,"Duplex",737499,"0"
"209","fl","0",33,"0","Non-Partisan","European","Independent",21000,"Unknown",259133,"0"
"210","ma","1",19,"1","Non-Partisan","European","Democratic & Independent",249000,"Residential",1233183,"0"
"211","la","0",66,"0","Non-Partisan","European","Democratic & Republican & Independent",65908,"Residential",178515,"1"
"212","ar","0",31,"1","Non-Partisan","European","Republican & Independent",250000,"Residential",467831,"0"
"213","ca","1",31,"0","Democratic","Hispanic and Portuguese","Democratic",47000,"Unknown",397727,"0"
"214","va","1",57,"0","Non-Partisan","European","Independent",98582,"Residential",375332,"1"
"215","fl","1",58,"1","Democratic","European","Democratic",154117,"Apartment",1014900,"0"
"216","nc","1",79,"0","Democratic","Likely African-American","Democratic",41000,"Apartment",162500,"1"
"217","mi","1",34,"1","Democratic","Likely African-American","Democratic",69717,"Apartment",420133,"0"
"218","oh","1",33,"1","Non-Partisan","European","Independent",68610,"Residential",284251,"1"
"219","pa","1",27,"1","Natural Law","European","Republican & Independent",56478,"Residential",112516,"0"
"220","tx","1",59,"1","Democratic","Hispanic and Portuguese","Democratic",36110,"Residential",87500,"0"
"221","fl","0",32,"1","Republican","European","Republican",72000,"Residential",665063,"1"
"222","fl","1",62,"1","Republican","Hispanic and Portuguese","Republican & Independent",28000,"Residential",235984,"0"
"223","fl","0",32,"0","Non-Partisan","European","Republican & Independent",48000,"Residential",194593,"0"
"224","nj","1",37,"1","Democratic","Hispanic and Portuguese","Democratic",132000,"Residential",139440,"0"
"225","wi","0",NA,"0","Non-Partisan","","Independent",49000,"Apartment",76249,"0"
"226","wa","1",47,"1","Non-Partisan","European","Independent",60896,"Residential",380401,"0"
"227","in","1",22,"1","Non-Partisan","European","Republican & Independent",130000,"Residential",285354,"0"
"228","ca","1",35,"1","Democratic","Hispanic and Portuguese","Democratic",76024,"Apartment",526441,"0"
"229","oh","0",65,"0","Non-Partisan","European","Independent",90256,"Apartment",117613,"1"
"230","ma","0",19,"1","Non-Partisan","European","Republican & Independent",58000,"Apartment",188842,"0"
"231","ky","1",27,"1","Republican","European","Democratic & Republican",88805,"Residential",164582,"0"
"232","nj","1",40,"0","Non-Partisan","European","Republican & Independent",75000,"Residential",244021,"0"
"233","in","1",42,"1","Republican","European","Republican",112000,"Unknown",150877,"0"
"234","il","1",39,"0","Republican","European","Republican",118381,"Residential",204596,"1"
"235","al","1",50,"1","Republican","European","Republican",21000,"Unknown",231375,"0"
"236","pa","1",36,"1","Non-Partisan","","Republican & Independent",12000,"Residential",75842,"0"
"237","tx","1",69,"0","Democratic","European","Democratic",142000,"Residential",460680,"0"
"238","nv","1",37,"1","Democratic","Hispanic and Portuguese","Democratic",33000,"Apartment",222367,"0"
"239","fl","1",40,"0","Non-Partisan","European","Independent",75669,"Residential",587447,"1"
"240","ny","1",40,"1","Democratic","European","Democratic",68000,"Residential",187500,"1"
"241","il","0",36,"0","Non-Partisan","Hispanic and Portuguese","Democratic & Independent",39407,"Triplex",295381,"0"
"242","tn","1",28,"1","Non-Partisan","Hispanic and Portuguese","Independent",36000,"Residential",77726,"0"
"243","fl","1",48,"1","Democratic","European","Democratic & Republican & Independent",229000,"Residential",226162,"0"
"244","ca","1",37,"1","Democratic","East and South Asian","Democratic & Independent",71866,"Residential",1046062,"0"
"245","or","1",36,"1","Democratic","East and South Asian","Democratic & Independent",96428,"Apartment",614226,"0"
"246","de","0",40,"1","Democratic","European","Democratic",53484,"Residential",620820,"0"
"247","tx","1",37,"1","Republican","European","Republican",64285,"Residential",187559,"0"
"248","nc","1",39,"0","Republican","","Democratic & Republican",75000,"Unknown",147939,"0"
"249","md","1",80,"1","Republican","Other","Republican",103878,"Residential",342656,"0"
"250","nh","1",50,"0","Republican","European","Republican & Independent",159000,"Residential",625000,"1"
"251","tx","1",62,"1","Non-Partisan","European","Independent",85000,"Residential",367558,"0"
"252","ca","1",80,"1","Republican","European","Republican",50576,"Mobil Home",251041,"0"
"253","tx","1",58,"1","Democratic","European","Democratic",195901,"Apartment",416189,"1"
"254","ny","1",72,"0","Democratic","Likely African-American","Democratic",119230,"Apartment",287500,"0"
"255","fl","1",54,"1","Democratic","European","Democratic",138000,"Apartment",423419,"0"
"256","ca","1",36,"1","Republican","European","Republican",143557,"Residential",541666,"0"
"257","ma","1",41,"1","Democratic","European","Democratic & Republican & Independent",234258,"Residential",1253906,"1"
"258","ct","1",59,"0","Democratic","Hispanic and Portuguese","Democratic",137401,"Unknown",307007,"0"
"259","md","0",37,"0","Democratic","Hispanic and Portuguese","Democratic",79960,"Apartment",184614,"0"
"260","nj","0",74,"0","Non-Partisan","Hispanic and Portuguese","Independent",51666,"Residential",190798,"1"
"261","az","1",35,"1","Registered Independent","","Independent",68000,"Unknown",216666,"0"
"262","pa","1",73,"1","Republican","European","Republican",89000,"Residential",86464,"0"
"263","fl","0",20,"1","Non-Partisan","Hispanic and Portuguese","Democratic & Independent",70095,"Unknown",274369,"0"
"264","oh","1",31,"1","Republican","European","Republican",70000,"Residential",150817,"0"
"265","mi","0",37,"1","Democratic","Likely African-American","Democratic",73624,"Residential",285493,"0"
"266","or","1",65,"1","Democratic","European","Democratic",144206,"Residential",812568,"0"
"267","ok","0",35,"0","Non-Partisan","European","Democratic & Independent",62352,"Unknown",156730,"0"
"268","ca","1",35,"0","Democratic","","Democratic",250000,"Residential",1893133,"0"
"269","ny","1",29,"1","Independence","European","Republican & Independent",167000,"Residential",433290,"0"
"270","ri","0",19,"0","Non-Partisan","European","Democratic & Independent",250000,"Residential",2403304,"0"
"271","ct","1",19,"0","Democratic","European","Democratic",87499,"Apartment",213884,"0"
"272","ca","1",17,"0","Democratic","Hispanic and Portuguese","Democratic",124000,"Apartment",2002284,"0"
"273","nv","1",48,"1","Non-Partisan","European","Democratic & Independent",90596,"Residential",493150,"0"
"274","hi","1",29,"1","Non-Partisan","European","Independent",94000,"Residential",432834,"0"
"275","ca","1",28,"0","Democratic","European","Democratic & Republican & Independent",124000,"Residential",688578,"0"
"276","mi","0",22,"1","Democratic","","Democratic",28928,"Apartment",154996,"0"
"277","dc","0",58,"1","Democratic","Likely African-American","Democratic & Independent",110000,"Apartment",440589,"0"
"278","tn","1",72,"1","Republican","European","Republican",15000,"Residential",123332,"1"
"279","nc","1",46,"1","Non-Partisan","European","Independent",71000,"Apartment",363094,"0"
"280","ca","0",18,"1","Democratic","Hispanic and Portuguese","Democratic & Republican & Independent",77403,"Residential",1281031,"0"
"281","nc","1",72,"0","Democratic","Likely African-American","Democratic",136000,"Apartment",229647,"1"
"282","ny","1",57,"1","Republican","European","Republican",91196,"Residential",522958,"1"
"283","sc","1",60,"1","Republican","European","Republican",72793,"Apartment",166332,"0"
"284","tx","0",73,"1","Democratic","European","Democratic",NA,"Apartment",NA,"0"
"285","ga","1",34,"1","Non-Partisan","European","Independent",138000,"Residential",295312,"0"
"286","oh","1",51,"0","Democratic","European","Democratic",54000,"Unknown",170576,"1"
"287","ca","1",41,"0","Republican","European","Republican & Independent",127000,"Residential",861731,"0"
"288","oh","1",71,"0","Democratic","European","Democratic & Independent",26000,"Residential",66367,"1"
"289","ca","1",49,"0","Non-Partisan","European","Republican & Independent",240000,"Residential",2288949,"1"
"290","nh","1",47,"0","Republican","European","Republican",109000,"Residential",136475,"0"
"291","az","0",21,"1","Democratic","Hispanic and Portuguese","Democratic",20000,"Apartment",256604,"0"
"292","ny","0",65,"0","Democratic","European","Democratic",85000,"Apartment",239285,"0"
"293","va","0",46,"1","Republican","European","Republican",84000,"Apartment",371248,"0"
"294","nm","0",61,"0","Republican","","Republican",76602,"Residential",328632,"0"
"295","tx","1",48,"1","Democratic","Hispanic and Portuguese","Democratic",38671,"Apartment",37500,"0"
"296","ut","1",63,"0","Republican","European","Republican",133000,"Residential",384388,"0"
"297","ca","1",19,"0","Non-Partisan","European","Democratic & Independent",68749,"Apartment",307309,"0"
"298","or","0",68,"0","Non-Partisan","European","Independent",55000,"Apartment",119479,"0"
"299","oh","1",56,"0","Republican","European","Republican",90178,"Residential",73170,"0"
"300","ga","1",40,"0","Non-Partisan","European","Independent",68000,"Residential",200249,"0"
"301","ca","1",43,"0","Republican","European","Republican",130768,"Residential",516283,"0"
"302","il","0",57,"0","Non-Partisan","European","Republican & Independent",39000,"Residential",205294,"0"
"303","in","1",77,"0","Republican","European","Republican",57000,"Residential",164561,"0"
"304","co","1",26,"0","Democratic","European","Democratic",37720,"Residential",443142,"0"
"305","ca","0",45,"0","Democratic","European","Democratic",188000,"Residential",1304134,"0"
"306","ca","1",24,"1","Non-Partisan","European","Independent",110000,"Residential",4759222,"0"
"307","il","1",27,"0","Democratic","European","Democratic & Republican & Independent",250000,"Residential",434975,"1"
"308","il","1",37,"1","Non-Partisan","European","Republican & Independent",73563,"Residential",162120,"0"
"309","la","1",59,"0","Republican","European","Republican",61697,"Residential",89473,"0"
"310","wa","1",35,"0","Democratic","European","Democratic",94000,"Apartment",262500,"0"
"311","tn","1",23,"1","Republican","European","Republican",198000,"Residential",383018,"0"
"312","me","1",24,"1","Non-Partisan","European","Independent",24000,"Apartment",128749,"1"
"313","pa","1",66,"1","Democratic","Hispanic and Portuguese","Democratic",29000,"Residential",233332,"1"
"314","ut","0",26,"0","Other","Hispanic and Portuguese","Independent",51000,"Apartment",434978,"0"
"315","ok","1",27,"1","Republican","European","Republican",65069,"Residential",120624,"0"
"316","pa","1",65,"0","Democratic","European","Democratic",25000,"Residential",150767,"1"
