"","state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation"
"124","ut","0",45,"0","Republican","European","Republican",90124,"Residential",210692,"0"
"125","la","0",36,"0","Non-Partisan","Hispanic and Portuguese","Democratic & Independent",47000,"Residential",177678,"0"
"126","wa","1",22,"1","Democratic","European","Democratic",117994,"Residential",497872,"0"
"127","wa","1",67,"0","Non-Partisan","European","Independent",143000,"Residential",563111,"0"
"128","ar","1",79,"1","Republican","European","Republican",100734,"Apartment",215670,"0"
"129","fl","1",42,"1","Republican","","Republican",140788,"Residential",610759,"0"
"130","nm","1",69,"0","Democratic","European","Democratic",126000,"Residential",321667,"0"
"131","nc","1",61,"0","Republican","European","Republican & Independent",109000,"Residential",594511,"0"
"132","ia","0",36,"0","Democratic","European","Democratic",72367,"Residential",256403,"0"
"133","ky","1",43,"0","Republican","European","Democratic & Republican",32726,"Residential",116666,"0"
"134","pa","1",78,"0","Republican","Other","Republican",42272,"Residential",98952,"1"
"135","ma","1",70,"1","Non-Partisan","Hispanic and Portuguese","Independent",70000,"Residential",161797,"0"
"136","ga","1",76,"1","Republican","European","Republican",63000,"Residential",410901,"0"
"137","in","0",86,"0","Non-Partisan","European","Independent",56521,"Condominium",149456,"1"
"138","ct","0",25,"0","Democratic","Likely African-American","Democratic",87004,"Apartment",484614,"0"
"139","ny","1",32,"0","Republican","European","Republican & Independent",250000,"Residential",874541,"0"
"140","in","0",55,"0","Democratic","European","Democratic",107581,"Apartment",237500,"0"
"141","ca","1",47,"1","Unknown","European","Independent",138083,"Apartment",848213,"0"
"142","fl","1",20,"1","Democratic","Likely African-American","Democratic",60000,"Unknown",259294,"0"
"143","mo","0",21,"0","Republican","European","Republican",243000,"Unknown",325041,"0"
"144","md","1",42,"0","Democratic","European","Democratic",43157,"Apartment",231998,"1"
"145","mn","1",22,"0","Republican","European","Republican",190508,"Residential",629846,"0"
"146","nc","1",37,"1","Non-Partisan","European","Republican & Independent",65000,"Residential",227499,"0"
"147","nh","0",49,"0","Non-Partisan","European","Independent",28000,"Apartment",293955,"0"
"148","tx","1",58,"1","Republican","European","Republican",250000,"Residential",394061,"1"
"149","pa","1",69,"1","Democratic","European","Democratic",20000,"Residential",118028,"1"
"150","ky","1",28,"1","Democratic","European","Democratic",69000,"Apartment",77726,"0"
"151","ia","0",76,"0","Non-Partisan","European","Independent",118000,"Residential",176281,"1"
"152","la","1",41,"0","Democratic","European","Democratic",123000,"Residential",204499,"0"
"153","ga","0",66,"0","Republican","European","Republican",75734,"Unknown",401001,"0"
"154","ny","1",60,"1","Republican","European","Republican & Independent",93000,"Residential",357767,"0"
"155","wa","1",64,"1","Democratic","","Democratic",27707,"Residential",288458,"0"
"156","mo","1",36,"1","Non-Partisan","European","Independent",202000,"Residential",423227,"0"
"157","il","0",29,"0","Non-Partisan","Hispanic and Portuguese","Republican & Independent",69018,"Duplex",306152,"0"
"158","ma","1",21,"1","Non-Partisan","Hispanic and Portuguese","Independent",39721,"Apartment",395646,"0"
"159","al","1",29,"0","Democratic","Likely African-American","Democratic & Republican",8000,"Residential",37500,"0"
"160","ny","1",62,"0","Republican","European","Republican",221000,"Residential",813584,"0"
"161","la","1",63,"0","Republican","European","Republican",24000,"Residential",137180,"1"
"162","ca","1",65,"1","Non-Partisan","Hispanic and Portuguese","Independent",37000,"Apartment",693802,"0"
"163","tx","1",38,"1","Democratic","European","Democratic",35000,"Residential",92691,"0"
"164","ga","1",59,"1","Non-Partisan","Likely African-American","Independent",62000,"Apartment",36597,"0"
"165","az","1",55,"1","Democratic","Hispanic and Portuguese","Democratic & Republican",29000,"Residential",655420,"0"
"166","wa","1",38,"0","Non-Partisan","European","Independent",36000,"Residential",118332,"0"
"167","co","1",50,"0","Democratic","European","Democratic",142000,"Residential",311110,"0"
"168","mi","0",23,"0","Non-Partisan","European","Independent",83055,"Residential",160293,"0"
"169","or","1",75,"1","Republican","European","Republican & Independent",109000,"Apartment",112500,"1"
"170","in","1",47,"1","Republican","European","Republican & Independent",250000,"Residential",351013,"0"
"171","fl","1",75,"1","Republican","","Republican",71000,"Residential",183142,"0"
"172","in","0",43,"0","Non-Partisan","European","Independent",74365,"Unknown",202884,"0"
"173","ga","0",29,"1","Democratic","Likely African-American","Democratic",35000,"Unknown",120646,"0"
"174","va","1",20,"1","Democratic","East and South Asian","Democratic",250000,"Residential",796060,"0"
"175","pa","1",72,"1","Republican","European","Republican & Independent",71000,"Residential",219517,"0"
"176","or","1",85,"0","Non-Partisan","European","Democratic & Independent",6000,"Residential",267939,"0"
"177","tx","0",22,"0","Democratic","Likely African-American","Democratic",6000,"Apartment",45775,"0"
"178","or","1",21,"1","Republican","European","Republican & Independent",81000,"Residential",594274,"0"
"179","fl","0",59,"0","Democratic","European","Democratic",44000,"Apartment",203771,"0"
"180","il","1",50,"1","Democratic","Hispanic and Portuguese","Democratic",38722,"Triplex",229285,"0"
"181","tn","0",59,"0","Non-Partisan","European","Independent",68000,"Apartment",162375,"1"
"182","md","1",NA,"0","Democratic","","Democratic & Republican & Independent",124000,"Residential",412134,"0"
"183","co","1",54,"1","Republican","European","Republican & Independent",49000,"Unknown",797077,"0"
"184","il","1",54,"1","Democratic","European","Democratic & Independent",30899,"Residential",175609,"1"
"185","al","1",52,"1","Non-Partisan","","Independent",90920,"Residential",248137,"0"
"186","oh","1",65,"1","Republican","European","Republican",36000,"Residential",237147,"1"
"187","ut","1",28,"1","Democratic","European","Democratic",230000,"Residential",640624,"0"
"188","nc","1",43,"1","Democratic","European","Democratic",116000,"Residential",158466,"0"
"189","az","0",43,"1","Non-Partisan","European","Republican & Independent",109000,"Unknown",115823,"0"
"190","ny","0",21,"1","Non-Partisan","European","Independent",43570,"Apartment",187559,"0"
"191","tn","1",52,"1","Democratic","European","Democratic",117895,"Residential",574660,"0"
"192","id","1",48,"0","Republican","European","Republican",92000,"Residential",203716,"1"
"193","tn","1",66,"0","Republican","Likely African-American","Republican",63786,"Residential",90311,"0"
"194","ky","1",80,"0","Republican","European","Republican",64000,"Residential",193358,"1"
"195","sc","1",63,"1","Democratic","Likely African-American","Democratic",58332,"Apartment",121690,"0"
"196","in","1",41,"0","Democratic","Likely African-American","Democratic",18000,"Residential",254474,"0"
"197","de","1",40,"0","Republican","European","Republican",122000,"Apartment",301869,"0"
"198","fl","0",59,"0","Republican","European","Republican",42000,"Residential",255434,"1"
"199","ms","1",45,"0","Democratic","European","Democratic",138000,"Residential",NA,"0"
"200","oh","1",32,"0","Republican","European","Republican",65000,"Residential",224999,"0"
"201","pa","1",31,"1","Democratic","European","Democratic",67499,"Apartment",338918,"0"
"202","la","0",38,"0","Democratic","Likely African-American","Democratic",67000,"Residential",58749,"0"
"203","tx","1",18,"0","Democratic","Likely African-American","Democratic",NA,"Apartment",NA,"0"
"204","sc","0",51,"0","Non-Partisan","European","Independent",221000,"Residential",126265,"0"
"205","va","1",66,"0","Republican","European","Democratic & Republican",142000,"Residential",492940,"0"
"206","tx","0",68,"0","Democratic","Hispanic and Portuguese","Democratic",48000,"Residential",84734,"1"
"207","tx","1",36,"0","Democratic","European","Democratic",144000,"Residential",233841,"0"
"208","pa","1",20,"1","Democratic","European","Democratic & Independent",9000,"Residential",70897,"1"
"209","fl","1",21,"0","Democratic","Hispanic and Portuguese","Democratic",38000,"Condominium",396557,"0"
"210","nj","1",56,"0","Non-Partisan","Other","Independent",68000,"Apartment",407828,"0"
"211","nv","1",72,"1","Republican","Hispanic and Portuguese","Democratic & Republican",119000,"Apartment",473809,"0"
"212","az","1",61,"0","Non-Partisan","Hispanic and Portuguese","Independent",85456,"Residential",152820,"0"
"213","ny","1",18,"1","Democratic","European","Democratic",170000,"Apartment",400975,"0"
"214","ca","1",24,"1","Democratic","European","Democratic & Independent",250000,"Residential",885672,"0"
"215","in","1",23,"0","Democratic","European","Democratic & Republican & Independent",64614,"Residential",168552,"0"
"216","ga","1",43,"0","Non-Partisan","European","Independent",177580,"Residential",382443,"0"
"217","tx","0",37,"0","Non-Partisan","European","Independent",111000,"Unknown",96153,"0"
"218","de","1",68,"1","Republican","European","Republican",53840,"Residential",213715,"1"
"219","fl","0",30,"1","Democratic","Hispanic and Portuguese","Democratic",69213,"Apartment",189088,"0"
"220","ga","0",59,"0","Non-Partisan","European","Independent",38437,"Residential",84999,"0"
"221","ny","0",23,"0","Non-Partisan","European","Independent",52000,"Residential",261037,"0"
"222","ca","1",73,"0","Republican","European","Republican",124000,"Residential",681915,"0"
"223","or","1",36,"0","Democratic","Hispanic and Portuguese","Democratic",73845,"Apartment",421228,"0"
"224","tx","1",39,"1","Republican","European","Republican",44000,"Residential",176370,"0"
"225","az","1",26,"0","Republican","Hispanic and Portuguese","Republican",171153,"Unknown",405181,"0"
"226","ga","1",23,"1","Republican","European","Republican & Independent",188000,"Residential",272058,"0"
"227","me","1",29,"1","Non-Partisan","","Independent",38000,"Residential",262500,"0"
"228","pa","1",56,"1","Democratic","European","Democratic",NA,"Apartment",NA,"0"
"229","az","1",69,"0","Republican","","Republican",57552,"Condominium",336580,"0"
"230","ny","1",61,"0","Democratic","European","Democratic",56000,"Apartment",478185,"0"
"231","ky","1",NA,"1","Democratic","","Democratic",19796,"Unknown",183012,"0"
"232","ca","1",28,"0","Non-Partisan","European","Independent",50000,"Apartment",287500,"0"
"233","ca","1",53,"0","Republican","European","Republican & Independent",29000,"Residential",604910,"0"
"234","tn","0",72,"0","Republican","European","Republican",146000,"Residential",776785,"1"
"235","ky","1",71,"0","Democratic","European","Democratic",55768,"Apartment",130917,"0"
"236","fl","1",70,"0","Republican","European","Republican",118504,"Residential",329999,"1"
"237","fl","0",29,"1","Democratic","European","Democratic",122000,"Residential",163644,"0"
"238","or","1",39,"1","Non-Partisan","","Independent",NA,"Unknown",NA,"0"
"239","nv","0",39,"0","Other","Hispanic and Portuguese","Independent",38000,"Residential",230050,"0"
"240","or","1",72,"1","Republican","European","Republican",78000,"Apartment",158387,"1"
"241","va","1",37,"0","Democratic","Likely African-American","Democratic",138361,"Residential",1083469,"0"
"242","nj","1",62,"1","Democratic","East and South Asian","Democratic & Independent",72064,"Residential",381791,"0"
"243","sc","0",25,"0","Democratic","Likely African-American","Democratic",56488,"Unknown",141088,"0"
"244","oh","1",31,"1","Republican","","Republican & Independent",93909,"Residential",210999,"0"
"245","al","1",73,"0","Democratic","European","Democratic",53000,"Residential",97272,"1"
"246","fl","1",55,"0","Democratic","European","Democratic",85340,"Condominium",261457,"0"
"247","ks","1",56,"0","Republican","European","Republican",81000,"Residential",210164,"0"
"248","ia","1",23,"0","Republican","European","Republican",70690,"Residential",298683,"0"
"249","nh","1",57,"0","Non-Partisan","European","Independent",82933,"Apartment",248557,"0"
"250","nv","1",28,"1","Democratic","Hispanic and Portuguese","Democratic",67049,"Residential",300196,"0"
"251","ca","0",75,"0","American Independent","European","Independent",NA,"Apartment",NA,"0"
"252","mi","1",76,"1","Democratic","European","Democratic & Republican",83000,"Residential",219335,"1"
"253","tx","1",26,"1","Republican","Hispanic and Portuguese","Republican",46000,"Residential",360713,"0"
"254","md","1",24,"1","Non-Partisan","European","Independent",156617,"Residential",414707,"0"
"255","az","1",34,"0","Democratic","Hispanic and Portuguese","Democratic",53000,"Residential",156715,"0"
"256","la","0",38,"1","Democratic","Likely African-American","Democratic",23111,"Unknown",62500,"0"
"257","ca","1",80,"0","Democratic","European","Democratic",93000,"Residential",420295,"0"
"258","nc","1",35,"1","Republican","","Republican & Independent",60000,"Residential",223386,"0"
"259","ny","1",29,"0","Conservative","European","Republican & Independent",60000,"Residential",192079,"0"
"260","ct","1",32,"0","Democratic","European","Democratic & Republican & Independent",200000,"Residential",633295,"0"
"261","nc","1",79,"0","Republican","European","Republican & Independent",133000,"Residential",269419,"1"
"262","ny","1",64,"0","Working Family Party","Likely African-American","Democratic & Independent",250000,"Residential",1201295,"0"
"263","ma","0",24,"1","Democratic","European","Democratic",49000,"Duplex",347883,"0"
"264","pa","1",32,"1","Democratic","European","Democratic & Republican",63822,"Residential",259090,"0"
"265","nc","1",22,"0","Republican","European","Republican & Independent",70000,"Residential",216245,"0"
"266","tx","1",29,"1","Democratic","Hispanic and Portuguese","Democratic",196000,"Apartment",558237,"0"
"267","ca","1",23,"1","Democratic","Other","Democratic & Republican & Independent",250000,"Residential",3579487,"0"
"268","fl","1",55,"1","Republican","European","Republican",49121,"Residential",131870,"0"
"269","fl","1",69,"0","Democratic","Likely African-American","Democratic",79000,"Residential",212500,"0"
"270","ky","1",49,"0","Democratic","European","Democratic",83000,"Residential",240704,"0"
"271","ny","0",62,"0","Democratic","Likely African-American","Democratic",28000,"Apartment",223211,"0"
"272","tn","1",27,"0","Republican","European","Republican & Independent",66666,"Residential",NA,"0"
"273","in","1",76,"1","Democratic","European","Democratic & Republican",61567,"Residential",72999,"0"
"274","sc","1",65,"1","Republican","European","Republican",218091,"Residential",566666,"0"
"275","va","0",31,"1","Non-Partisan","Other","Independent",246000,"Residential",1000000,"0"
"276","nc","0",27,"0","Republican","European","Republican",85060,"Residential",262500,"0"
"277","ia","1",49,"1","Democratic","European","Democratic",94000,"Residential",212500,"0"
"278","pa","1",55,"0","Democratic","European","Democratic",36000,"Residential",78040,"1"
"279","la","1",83,"0","Republican","European","Republican",NA,"Unknown",NA,"0"
"280","il","0",73,"0","Democratic","Likely African-American","Democratic",47000,"Triplex",87500,"0"
"281","fl","1",38,"0","Democratic","","Democratic",133000,"Residential",214286,"0"
"282","il","1",22,"1","Democratic","European","Democratic & Independent",23124,"Apartment",159429,"0"
"283","tn","1",75,"1","Republican","European","Republican",81000,"Residential",488879,"1"
"284","az","1",38,"0","Democratic","","Democratic",24000,"Residential",244262,"0"
"285","fl","1",69,"0","Non-Partisan","Other","Independent",82000,"Condominium",393612,"0"
"286","ca","1",27,"0","Democratic","Likely African-American","Democratic",103000,"Residential",1215381,"1"
"287","ny","1",79,"1","Democratic","European","Democratic & Republican",198000,"Residential",1002308,"1"
"288","fl","0",41,"1","Republican","European","Republican",111000,"Residential",413758,"0"
"289","ga","1",67,"1","Democratic","Likely African-American","Democratic",8000,"Apartment",57110,"0"
"290","nj","1",55,"1","Non-Partisan","European","Independent",54210,"Apartment",523922,"0"
"291","pa","1",69,"1","Republican","European","Republican",58972,"Residential",202193,"1"
"292","ma","1",35,"1","Democratic","European","Democratic & Independent",112000,"Apartment",251377,"1"
"293","ky","1",37,"0","Republican","European","Republican",63060,"Unknown",293298,"0"
"294","nj","1",70,"0","Non-Partisan","European","Republican & Independent",97151,"Residential",323912,"1"
"295","ct","1",91,"0","Democratic","","Democratic",126615,"Condominium",292999,"1"
"296","tx","1",64,"1","Republican","European","Republican",85000,"Residential",195713,"0"
"297","tx","1",30,"1","Democratic","Hispanic and Portuguese","Democratic & Republican",55567,"Residential",165636,"0"
"298","ca","1",41,"1","Non-Partisan","European","Democratic & Independent",82000,"Residential",625000,"1"
"299","me","0",70,"0","Non-Partisan","European","Democratic & Independent",57202,"Residential",320742,"0"
"300","tx","1",39,"0","Democratic","Likely African-American","Democratic",38000,"Residential",126886,"1"
"301","mi","1",66,"0","Democratic","European","Democratic",12000,"Apartment",187765,"1"
"302","ma","0",36,"0","Non-Partisan","European","Republican & Independent",42856,"Residential",286397,"0"
"303","or","1",41,"0","Democratic","European","Democratic & Republican",43310,"Residential",248437,"0"
"304","ga","1",44,"1","Non-Partisan","European","Republican & Independent",80000,"Residential",378872,"0"
"305","nj","1",24,"0","Non-Partisan","Other","Democratic & Independent",244000,"Triplex",899796,"0"
"306","il","0",54,"1","Non-Partisan","European","Republican & Independent",102000,"Residential",306777,"1"
"307","ct","0",48,"1","Non-Partisan","European","Independent",NA,"Apartment",NA,"0"
"308","nm","0",66,"0","Non-Partisan","European","Independent",21000,"Unknown",84999,"0"
"309","ct","1",63,"1","Democratic","European","Democratic",161000,"Residential",722886,"0"
"310","ca","1",23,"0","Democratic","European","Democratic & Independent",250000,"Residential",2234698,"0"
"311","md","1",NA,"1","Democratic","Likely African-American","Democratic",27000,"Apartment",385713,"0"
"312","wa","1",53,"1","Republican","European","Republican",250000,"Residential",963324,"1"
"313","ma","0",24,"0","Non-Partisan","Likely African-American","Independent",NA,"Apartment",NA,"0"
"314","ga","1",47,"0","Democratic","European","Democratic & Independent",177580,"Residential",387174,"0"
"315","ks","0",27,"0","Non-Partisan","European","Independent",98789,"Apartment",59602,"0"
"316","ny","1",26,"0","Non-Partisan","Hispanic and Portuguese","Independent",243000,"Residential",508612,"0"
"317","nj","1",42,"0","Republican","","Republican",121000,"Residential",598363,"0"
"318","nj","0",25,"1","Non-Partisan","European","Independent",61551,"Duplex",278904,"0"
"319","pa","1",51,"1","Democratic","European","Democratic",42000,"Residential",69491,"0"
"320","fl","1",44,"1","Non-Partisan","European","Independent",59000,"Residential",69347,"0"
