"","state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation"
"25","tx","0",73,"0","Republican","","Republican",69000,"Residential",123804,"1"
"26","ca","1",51,"0","Democratic","East and South Asian","Democratic",250000,"Residential",2313721,"1"
"27","wa","1",46,"0","Republican","European","Republican",NA,"Unknown",NA,"0"
"28","or","1",24,"1","Non-Partisan","European","Independent",38000,"Residential",157110,"0"
"29","wa","1",20,"0","Republican","European","Republican",97000,"Residential",325000,"1"
"30","ny","1",79,"1","Republican","European","Republican",35713,"Apartment",306339,"1"
"31","nc","1",79,"0","Republican","European","Republican",79378,"Residential",134945,"1"
"32","nj","1",41,"1","Democratic","European","Democratic",75232,"Residential",229544,"0"
"33","fl","0",56,"1","Democratic","Likely African-American","Democratic & Republican",20000,"Apartment",232691,"0"
"34","ny","1",29,"1","Republican","European","Republican",199000,"Residential",875000,"0"
"35","in","0",59,"0","Non-Partisan","European","Democratic & Independent",74166,"Residential",219921,"0"
"36","in","1",19,"1","Democratic","European","Democratic & Republican",62000,"Residential",162500,"0"
"37","pa","1",25,"1","Republican","European","Republican",31499,"Residential",180607,"0"
"38","al","1",71,"0","Republican","European","Republican",47000,"Residential",457142,"1"
"39","hi","0",59,"1","Non-Partisan","East and South Asian","Independent",156970,"Condominium",1279004,"0"
"40","ca","1",17,"0","Democratic","Hispanic and Portuguese","Democratic",55102,"Apartment",475000,"0"
"41","al","1",67,"0","Republican","European","Republican",44523,"Apartment",70952,"0"
"42","il","1",28,"0","Non-Partisan","European","Democratic & Independent",84847,"Unknown",284887,"0"
"43","ri","1",21,"1","Democratic","European","Democratic",50888,"Residential",290657,"0"
"44","ok","1",77,"0","Non-Partisan","European","Republican & Independent",198000,"Residential",442895,"1"
"45","wa","0",58,"1","Democratic","Likely African-American","Democratic",16000,"Condominium",169757,"0"
"46","wi","1",NA,"1","Democratic","European","Democratic",117000,"Residential",386516,"0"
"47","pa","1",43,"0","Republican","European","Democratic & Republican",52765,"Residential",299489,"0"
"48","wi","1",43,"0","Non-Partisan","East and South Asian","Independent",98000,"Residential",124800,"1"
"49","ny","0",42,"1","Republican","European","Republican",48000,"Residential",361274,"0"
"50","sc","1",68,"1","Democratic","European","Democratic",24799,"Unknown",184927,"0"
"51","or","0",42,"1","Democratic","","Democratic",141000,"Residential",304427,"0"
"52","mi","1",20,"1","Democratic","European","Democratic",191000,"Residential",534691,"1"
"53","ca","0",69,"1","Non-Partisan","European","Independent",70273,"Residential",83073,"0"
"54","fl","1",51,"0","Non-Partisan","European","Republican & Independent",54235,"Residential",262445,"0"
"55","wi","1",33,"0","Non-Partisan","European","Independent",97152,"Unknown",182127,"0"
"56","ca","1",62,"0","Unknown","European","Independent",221000,"Apartment",1061638,"0"
"57","ga","1",35,"0","Democratic","Likely African-American","Democratic",18000,"Apartment",145454,"0"
"58","tx","0",28,"0","Non-Partisan","Hispanic and Portuguese","Independent",78184,"Apartment",178013,"0"
"59","tn","1",33,"0","Democratic","European","Democratic & Republican",236231,"Residential",623753,"0"
"60","ia","1",83,"0","Republican","European","Republican",72000,"Residential",137500,"0"
"61","or","0",18,"0","Republican","Other","Democratic & Republican",85915,"Residential",328515,"0"
"62","fl","1",56,"1","Non-Partisan","European","Independent",16000,"Duplex",311391,"0"
"63","dc","0",42,"0","Democratic","Likely African-American","Democratic",148437,"Apartment",409280,"0"
"64","ga","1",56,"1","Republican","European","Republican",52000,"Residential",268721,"1"
"65","ok","1",47,"1","Democratic","European","Democratic & Republican",102521,"Residential",75701,"0"
"66","ms","0",NA,"1","Non-Partisan","Likely African-American","Independent",37000,"Apartment",16437,"0"
"67","id","1",65,"0","Republican","","Republican",16000,"Mobil Home",227082,"1"
"68","ga","1",21,"0","Democratic","Likely African-American","Democratic",113000,"Residential",275657,"0"
"69","mi","1",31,"1","Democratic","","Democratic",30000,"Residential",259431,"0"
"70","ny","0",61,"0","Republican","European","Democratic & Republican & Independent",89000,"Residential",1144833,"0"
"71","tn","1",82,"0","Republican","European","Democratic & Republican",39000,"Unknown",146496,"1"
"72","ca","1",53,"1","Non-Partisan","European","Independent",73332,"Residential",250624,"1"
"73","fl","1",28,"1","Democratic","Likely African-American","Democratic & Independent",207000,"Apartment",831542,"0"
"74","ca","1",62,"0","Democratic","East and South Asian","Democratic & Independent",72749,"Residential",409967,"0"
"75","al","1",65,"1","Republican","European","Republican",76354,"Residential",165033,"0"
"76","il","1",45,"0","Non-Partisan","European","Democratic & Independent",117000,"Residential",137500,"0"
"77","az","1",65,"0","Registered Independent","European","Democratic & Independent",50000,"Residential",216666,"0"
"78","fl","0",77,"1","Republican","European","Republican",65000,"Apartment",357223,"0"
"79","in","0",56,"0","Republican","Hispanic and Portuguese","Republican",48000,"Unknown",137826,"0"
"80","il","1",70,"1","Democratic","Hispanic and Portuguese","Democratic",93000,"Residential",325000,"1"
"81","ny","1",67,"1","Democratic","European","Democratic",119000,"Apartment",358202,"0"
"82","ga","1",84,"1","Democratic","Hispanic and Portuguese","Democratic",55000,"Apartment",362976,"0"
"83","tn","0",65,"0","Democratic","European","Democratic",72000,"Residential",267427,"0"
"84","ca","1",17,"0","Democratic","European","Democratic",48000,"Mobil Home",416719,"0"
"85","fl","0",46,"1","Non-Partisan","Likely African-American","Independent",59700,"Apartment",123823,"0"
"86","ms","1",58,"1","Democratic","Likely African-American","Democratic",44000,"Residential",150767,"1"
"87","co","0",61,"1","Democratic","European","Democratic",114000,"Unknown",437551,"1"
"88","md","0",75,"1","Non-Partisan","","Independent",110000,"Residential",443340,"1"
"89","la","0",72,"1","Republican","European","Republican",NA,"Residential",NA,"0"
"90","dc","1",36,"1","Republican","European","Republican",250000,"Residential",3126562,"0"
"91","nj","1",79,"1","Republican","","Republican",109000,"Residential",419521,"1"
"92","me","1",67,"0","Republican","European","Republican",52000,"Residential",101702,"1"
"93","ny","1",24,"0","Non-Partisan","","Democratic & Independent",250000,"Residential",1059066,"0"
"94","ny","1",33,"0","Non-Partisan","European","Independent",84000,"Duplex",448300,"0"
"95","az","1",81,"0","Republican","European","Republican",109090,"Residential",346134,"0"
"96","fl","1",59,"1","Democratic","Hispanic and Portuguese","Democratic",51749,"Apartment",294766,"0"
"97","ma","1",57,"1","Non-Partisan","European","Independent",162499,"Residential",737499,"1"
"98","pa","1",48,"1","Democratic","European","Democratic",90943,"Residential",263888,"1"
"99","fl","1",21,"1","Non-Partisan","Hispanic and Portuguese","Independent",82812,"Apartment",348227,"0"
"100","al","1",64,"0","Republican","","Republican",80171,"Residential",163009,"1"
"101","ia","1",67,"0","Republican","European","Republican",86000,"Apartment",376728,"0"
"102","wi","1",66,"1","Republican","European","Democratic & Republican",83380,"Residential",100742,"0"
"103","ca","1",30,"1","Non-Partisan","East and South Asian","Republican & Independent",192000,"Residential",1194444,"0"
"104","mi","0",24,"1","Democratic","Likely African-American","Democratic",28000,"Apartment",77838,"0"
"105","ks","1",45,"1","Republican","European","Republican",56013,"Residential",134840,"0"
"106","il","1",62,"1","Republican","European","Republican",123322,"Residential",333253,"1"
"107","il","1",78,"1","Republican","European","Republican & Independent",70732,"Residential",483232,"1"
"108","fl","1",70,"0","Republican","European","Republican",113000,"Residential",121982,"1"
"109","la","1",59,"1","Democratic","Likely African-American","Democratic",83000,"Residential",159803,"1"
"110","il","1",65,"0","Democratic","Likely African-American","Democratic",118000,"Duplex",317427,"0"
"111","ms","1",NA,"1","Republican","European","Republican",57000,"Residential",37500,"0"
"112","mo","1",35,"1","Non-Partisan","European","Independent",48799,"Apartment",132344,"0"
"113","md","1",69,"0","Democratic","European","Democratic & Independent",127000,"Residential",413952,"1"
"114","ca","1",86,"0","Democratic","Likely African-American","Democratic",72000,"Residential",507695,"0"
"115","nh","0",55,"0","Republican","European","Republican",57000,"Duplex",236840,"1"
"116","ma","1",53,"0","Non-Partisan","European","Democratic & Independent",144000,"Residential",841153,"1"
"117","mi","1",58,"1","Democratic","European","Democratic",77403,"Residential",286880,"1"
"118","nj","1",66,"1","Democratic","Hispanic and Portuguese","Democratic",74857,"Apartment",116357,"0"
"119","ga","0",40,"0","Democratic","Likely African-American","Democratic",6000,"Unknown",32142,"0"
"120","de","1",66,"1","Democratic","European","Democratic",35178,"Residential",121619,"1"
"121","tx","1",50,"1","Republican","European","Republican",46000,"Residential",151292,"1"
"122","nm","0",56,"1","Non-Partisan","European","Independent",78288,"Apartment",565671,"0"
"123","ct","1",74,"0","Republican","European","Republican",124352,"Residential",480813,"0"
"124","ny","0",28,"0","Republican","European","Republican",57499,"Residential",187500,"0"
"125","ga","0",45,"0","Democratic","European","Democratic",78000,"Apartment",62500,"0"
"126","ga","0",58,"1","Non-Partisan","European","Independent",53396,"Apartment",85678,"0"
"127","ny","0",89,"1","Independence","European","Republican & Independent",92904,"Residential",173046,"0"
"128","ky","1",51,"1","Democratic","European","Democratic & Republican",67124,"Residential",394856,"0"
"129","tn","1",46,"1","Non-Partisan","European","Independent",34000,"Apartment",109867,"0"
"130","ca","1",72,"0","Non-Partisan","East and South Asian","Independent",57000,"Residential",425000,"0"
"131","va","0",23,"1","Democratic","Likely African-American","Democratic",56000,"Residential",168749,"0"
"132","nc","1",41,"0","Republican","European","Republican",85000,"Residential",261654,"0"
"133","ny","0",36,"1","Democratic","Likely African-American","Democratic",NA,"Apartment",NA,"0"
"134","pa","1",61,"1","Republican","European","Republican",69000,"Residential",261483,"0"
"135","mn","1",77,"0","Republican","European","Republican",100458,"Residential",145218,"1"
"136","ca","1",45,"1","Democratic","East and South Asian","Democratic & Independent",108507,"Residential",410635,"0"
"137","co","1",34,"1","Democratic","European","Democratic",43025,"Residential",365440,"0"
"138","tx","1",53,"1","Republican","European","Republican",159000,"Residential",212500,"0"
"139","nm","1",25,"0","Democratic","European","Democratic & Republican",199000,"Residential",285374,"0"
"140","mo","0",70,"1","Democratic","Likely African-American","Democratic",31367,"Apartment",87500,"1"
"141","il","0",65,"1","Non-Partisan","European","Independent",201000,"Residential",625000,"1"
"142","mi","1",48,"1","Non-Partisan","European","Independent",208455,"Residential",112500,"1"
"143","tn","1",74,"0","Republican","European","Republican",113000,"Residential",285259,"0"
"144","ca","1",56,"1","Non-Partisan","European","Republican & Independent",52856,"Residential",284126,"0"
"145","mi","1",36,"0","Democratic","European","Democratic",55681,"Residential",93845,"0"
"146","fl","1",32,"1","Democratic","European","Democratic & Republican & Independent",24000,"Duplex",182975,"0"
"147","wa","1",44,"1","Democratic","Hispanic and Portuguese","Democratic",85794,"Residential",519886,"0"
"148","ar","1",70,"1","Republican","European","Republican",28000,"Residential",77142,"1"
"149","mn","1",49,"1","Republican","Hispanic and Portuguese","Republican",250000,"Residential",959685,"0"
"150","ky","1",62,"1","Democratic","","Democratic",68131,"Residential",273242,"0"
"151","mo","1",66,"0","Republican","European","Republican",250000,"Residential",511566,"0"
"152","pa","1",34,"0","Democratic","European","Democratic & Republican",69999,"Residential",149632,"0"
"153","ca","1",27,"0","Republican","East and South Asian","Republican & Independent",250000,"Residential",1706265,"0"
"154","ca","1",27,"0","American Independent","European","Democratic & Independent",112499,"Residential",625000,"0"
"155","mi","0",34,"0","Non-Partisan","European","Independent",17557,"Unknown",195312,"1"
"156","va","1",36,"0","Democratic","Likely African-American","Democratic",66000,"Residential",269791,"0"
"157","or","1",57,"1","Republican","European","Republican",73000,"Unknown",345528,"0"
"158","ga","1",92,"1","Republican","European","Republican",47142,"Residential",159090,"1"
"159","ky","0",39,"0","Democratic","European","Democratic",173000,"Apartment",234420,"0"
"160","mi","1",86,"0","Republican","European","Republican",40000,"Residential",211223,"0"
"161","nj","1",62,"1","Non-Partisan","East and South Asian","Independent",87000,"Apartment",161175,"0"
"162","ma","1",41,"1","Non-Partisan","European","Independent",250000,"Residential",451987,"0"
"163","nj","0",34,"1","Republican","European","Republican & Independent",33000,"Residential",226171,"0"
"164","nj","1",28,"1","Non-Partisan","East and South Asian","Republican & Independent",250000,"Unknown",958332,"0"
"165","tx","1",63,"1","Republican","European","Republican",76814,"Residential",285888,"0"
"166","tx","0",77,"1","Democratic","Hispanic and Portuguese","Democratic",30000,"Apartment",227238,"0"
"167","pa","1",24,"1","Republican","European","Republican",71999,"Residential",233156,"0"
"168","tn","0",65,"0","Republican","European","Republican",55480,"Residential",89499,"0"
"169","oh","1",62,"0","Republican","European","Republican",87925,"Residential",137500,"1"
"170","wi","1",NA,"0","Non-Partisan","European","Independent",41943,"Apartment",156823,"0"
"171","fl","0",22,"0","Non-Partisan","European","Independent",63749,"Residential",263234,"1"
"172","me","1",77,"0","Democratic","European","Democratic",62000,"Residential",319521,"0"
"173","wi","1",64,"0","Non-Partisan","European","Independent",186764,"Residential",366666,"1"
"174","tx","0",39,"1","Democratic","European","Democratic",83000,"Residential",286314,"0"
"175","tx","1",39,"1","Republican","European","Republican",33000,"Apartment",118268,"1"
"176","ia","1",47,"0","Republican","European","Republican & Independent",52000,"Residential",392895,"1"
"177","fl","0",49,"1","Democratic","Hispanic and Portuguese","Democratic & Independent",57916,"Apartment",129633,"0"
"178","ia","1",17,"1","Democratic","","Democratic",116000,"Residential",82901,"0"
"179","ia","1",24,"0","Democratic","European","Democratic",87843,"Residential",152999,"0"
"180","il","0",43,"0","Democratic","Likely African-American","Democratic",120000,"Apartment",262068,"1"
"181","ma","1",27,"0","Democratic","European","Democratic",135000,"Residential",451665,"0"
"182","ca","1",20,"0","Democratic","European","Democratic",250000,"Residential",623640,"0"
"183","ca","1",31,"0","Non-Partisan","European","Republican & Independent",75000,"Residential",212500,"1"
"184","sc","1",47,"0","Republican","European","Republican",75000,"Residential",186672,"0"
"185","co","1",49,"1","Non-Partisan","European","Independent",35000,"Apartment",192796,"0"
"186","il","1",63,"1","Non-Partisan","European","Independent",29000,"Residential",87500,"1"
"187","ga","1",34,"1","Democratic","European","Democratic",62000,"Residential",194311,"0"
"188","nm","1",99,"1","Democratic","European","Democratic",42000,"Residential",148974,"1"
"189","fl","1",28,"1","Non-Partisan","European","Independent",33000,"Unknown",168749,"0"
"190","co","1",30,"1","Republican","European","Republican & Independent",88000,"Residential",301995,"0"
"191","ca","1",61,"1","Democratic","","Democratic & Republican",62000,"Residential",478273,"1"
"192","ma","1",22,"0","Non-Partisan","European","Democratic & Republican & Independent",55000,"Duplex",325000,"0"
"193","pa","1",71,"0","Democratic","European","Democratic",172000,"Residential",507786,"1"
"194","mn","1",22,"0","Republican","European","Republican",66723,"Residential",415866,"0"
"195","ny","1",38,"1","Democratic","European","Democratic & Independent",133000,"Residential",252034,"1"
"196","mi","0",45,"0","Democratic","European","Democratic",100509,"Apartment",153768,"0"
"197","il","0",35,"1","Non-Partisan","Likely African-American","Democratic & Independent",48513,"Residential",318918,"1"
"198","ga","1",47,"1","Republican","European","Republican & Independent",112053,"Residential",316257,"0"
"199","ny","1",56,"1","Republican","European","Republican & Independent",250000,"Residential",1427034,"0"
"200","ut","1",51,"0","Other","European","Republican & Independent",97000,"Residential",195714,"1"
"201","il","1",39,"1","Democratic","European","Democratic",111516,"Residential",469783,"0"
"202","tx","1",37,"1","Non-Partisan","Hispanic and Portuguese","Independent",96000,"Residential",280215,"0"
"203","ny","1",19,"1","Democratic","Hispanic and Portuguese","Democratic & Independent",110406,"Residential",438776,"0"
"204","tx","1",52,"0","Republican","European","Democratic & Republican",245000,"Residential",673026,"0"
"205","pa","1",62,"0","Democratic","Hispanic and Portuguese","Democratic",146000,"Residential",451603,"0"
"206","mo","1",88,"1","Republican","European","Democratic & Republican",76812,"Residential",279295,"1"
"207","ga","1",61,"0","Republican","European","Republican & Independent",56249,"Residential",275955,"0"
"208","ar","1",84,"1","Non-Partisan","European","Independent",75734,"Unknown",469720,"0"
"209","ga","0",87,"1","Non-Partisan","European","Republican & Independent",27000,"Residential",188627,"1"
"210","nj","0",44,"0","Democratic","Other","Democratic & Independent",65999,"Residential",98157,"1"
"211","al","1",40,"0","Non-Partisan","European","Independent",236000,"Residential",623971,"0"
"212","oh","1",82,"1","Republican","European","Republican",104000,"Residential",401137,"1"
"213","sc","1",49,"1","Democratic","Likely African-American","Democratic",64614,"Residential",325000,"0"
"214","in","1",63,"0","Republican","European","Democratic & Republican",83180,"Residential",373363,"0"
"215","ga","1",47,"1","Republican","European","Republican",81000,"Residential",237500,"0"
"216","ny","1",68,"1","Republican","European","Republican",70760,"Apartment",322301,"0"
"217","va","1",20,"0","Republican","Hispanic and Portuguese","Republican",121000,"Residential",383379,"0"
"218","tx","1",30,"0","Non-Partisan","European","Independent",NA,"Apartment",NA,"0"
"219","az","1",55,"0","Republican","European","Republican",120967,"Residential",848314,"0"
"220","il","1",43,"1","Democratic","European","Democratic & Independent",59456,"Residential",109190,"1"
"221","dc","0",40,"0","Democratic","Likely African-American","Democratic",28000,"Residential",193237,"0"
"222","ca","1",63,"0","Republican","European","Democratic & Republican",66408,"Residential",493547,"1"
"223","ca","1",65,"1","Democratic","Other","Democratic",64204,"Apartment",625000,"0"
"224","sd","1",24,"0","Democratic","European","Democratic",106075,"Residential",185576,"1"
"225","ca","1",88,"1","Republican","European","Republican",66000,"Residential",295312,"1"
"226","ca","1",39,"1","Non-Partisan","Hispanic and Portuguese","Democratic & Independent",51480,"Residential",584301,"0"
"227","md","1",40,"1","Democratic","Likely African-American","Democratic & Independent",61000,"Residential",171769,"0"
"228","ga","1",48,"1","Democratic","Likely African-American","Democratic",113000,"Residential",168749,"0"
"229","ks","1",70,"0","Republican","European","Republican",63970,"Residential",48749,"1"
"230","al","1",57,"0","Democratic","Likely African-American","Democratic",35000,"Residential",163017,"0"
"231","co","1",45,"1","Democratic","Hispanic and Portuguese","Democratic",92000,"Residential",243999,"0"
"232","pa","1",58,"1","Republican","European","Democratic & Republican",131000,"Unknown",229429,"0"
"233","de","1",47,"1","Democratic","European","Democratic",115000,"Residential",454023,"0"
"234","ga","1",31,"0","Non-Partisan","European","Independent",64941,"Residential",325000,"0"
"235","pa","1",34,"0","Republican","European","Republican",124000,"Residential",335005,"0"
"236","sc","1",26,"0","Republican","European","Republican & Independent",119000,"Apartment",NA,"0"
"237","oh","1",66,"1","Non-Partisan","European","Independent",64730,"Duplex",247005,"0"
"238","tx","0",39,"0","Republican","European","Republican",24000,"Residential",292044,"0"
"239","pa","1",18,"0","Republican","European","Democratic & Republican",56409,"Residential",224166,"0"
"240","ct","1",47,"1","Democratic","Hispanic and Portuguese","Democratic & Independent",250000,"Apartment",1000000,"1"
"241","az","0",47,"1","Democratic","Likely African-American","Democratic & Independent",93000,"Apartment",163735,"0"
"242","pa","1",39,"1","Republican","European","Republican",137499,"Apartment",310331,"0"
"243","nj","1",83,"1","Republican","","Republican & Independent",63000,"Residential",175268,"1"
"244","wi","1",56,"0","Republican","European","Republican",73000,"Residential",144122,"0"
"245","tx","0",21,"1","Non-Partisan","European","Democratic & Independent",NA,"Apartment",203924,"0"
"246","mo","1",79,"0","Republican","European","Republican",78353,"Apartment",192234,"0"
"247","in","1",27,"0","Democratic","European","Democratic",250000,"Residential",792886,"0"
"248","al","1",33,"1","Democratic","Likely African-American","Democratic",109000,"Triplex",86153,"0"
"249","pa","1",66,"1","Democratic","Likely African-American","Democratic",82000,"Apartment",277131,"1"
"250","mi","1",37,"1","Democratic","Other","Democratic",23976,"Residential",133593,"0"
"251","ms","1",23,"1","Democratic","European","Democratic & Republican",194000,"Residential",797233,"0"
"252","oh","1",46,"0","Democratic","European","Democratic",41874,"Residential",107575,"1"
"253","wa","1",56,"1","Democratic","European","Democratic & Republican",112000,"Apartment",1044089,"0"
"254","oh","1",81,"1","Non-Partisan","European","Independent",64452,"Residential",103480,"1"
"255","nc","1",67,"1","Democratic","European","Democratic",NA,"Unknown",NA,"0"
"256","or","1",64,"1","Democratic","","Democratic & Independent",68411,"Apartment",1050024,"0"
"257","in","1",62,"0","Democratic","European","Democratic",36000,"Unknown",225552,"0"
"258","mi","1",23,"0","Non-Partisan","European","Democratic & Republican & Independent",50487,"Residential",299161,"0"
"259","pa","1",26,"1","Republican","Hispanic and Portuguese","Democratic & Republican",100000,"Residential",99166,"1"
"260","ia","1",83,"0","Democratic","European","Democratic",102000,"Residential",281598,"1"
"261","pa","1",64,"0","Republican","European","Republican",18000,"Residential",87500,"0"
"262","nc","1",52,"1","Democratic","","Democratic",125000,"Residential",243011,"0"
"263","or","0",35,"1","Non-Partisan","","Independent",72000,"Residential",314791,"0"
"264","mo","1",26,"1","Republican","European","Republican",250000,"Residential",1302089,"0"
"265","tn","1",74,"0","Republican","European","Democratic & Republican",110912,"Residential",425000,"0"
"266","ca","1",26,"1","Democratic","European","Democratic",99000,"Residential",1000000,"0"
"267","tx","1",42,"0","Democratic","Other","Democratic",60000,"Residential",136101,"0"
"268","oh","1",75,"0","Republican","European","Republican",47000,"Mobil Home",163499,"1"
"269","sc","0",80,"1","Republican","European","Republican",53570,"Unknown",181357,"0"
"270","al","1",57,"1","Democratic","Hispanic and Portuguese","Democratic",8000,"Triplex",230468,"0"
"271","nj","0",71,"0","Republican","European","Republican",82000,"Residential",197497,"0"
"272","pa","0",21,"0","Republican","European","Republican",101000,"Unknown",116174,"0"
"273","il","0",50,"0","Non-Partisan","European","Independent",NA,"Unknown",NA,"0"
"274","il","1",68,"0","Republican","European","Republican",142076,"Apartment",157741,"0"
"275","wi","1",36,"1","Democratic","European","Democratic",60191,"Unknown",171765,"0"
"276","ga","1",72,"1","Democratic","European","Democratic",122000,"Residential",157499,"1"
"277","ky","1",80,"1","Republican","European","Democratic & Republican",57000,"Residential",187500,"1"
"278","nh","1",NA,"1","Republican","European","Republican",72000,"Apartment",303667,"0"
"279","mt","1",69,"0","Democratic","European","Democratic",66727,"Apartment",280244,"0"
"280","va","1",69,"1","Republican","European","Republican",112797,"Residential",288645,"1"
"281","ca","1",67,"0","Non-Partisan","East and South Asian","Democratic & Independent",124000,"Condominium",1298839,"0"
"282","ca","1",57,"1","Non-Partisan","Likely African-American","Democratic & Independent",21000,"Residential",122793,"0"
"283","ma","0",29,"1","Non-Partisan","European","Independent",51817,"Duplex",296666,"0"
"284","pa","1",45,"0","Non-Partisan","European","Democratic & Independent",121687,"Residential",287675,"1"
"285","il","1",68,"0","Non-Partisan","European","Independent",12000,"Residential",58025,"1"
"286","pa","1",55,"1","Democratic","European","Democratic & Republican",96000,"Residential",182673,"0"
"287","co","1",48,"1","Democratic","Likely African-American","Democratic",55428,"Apartment",294758,"1"
"288","fl","1",52,"0","Republican","European","Republican",35000,"Apartment",337878,"0"
"289","fl","1",53,"1","Republican","European","Republican",55000,"Unknown",309213,"0"
"290","wi","1",NA,"0","Democratic","European","Independent",62157,"Unknown",79499,"0"
"291","wa","1",23,"1","Democratic","","Democratic",172000,"Apartment",1135782,"0"
"292","me","1",64,"1","Republican","European","Republican",42954,"Residential",187126,"1"
"293","ca","1",76,"1","Peace and Freedom","Hispanic and Portuguese","Independent",123000,"Apartment",297294,"0"
"294","mi","1",74,"1","Democratic","Likely African-American","Democratic",81000,"Residential",86896,"0"
"295","fl","1",60,"1","Republican","Hispanic and Portuguese","Republican",58823,"Residential",425000,"0"
"296","tx","1",33,"0","Democratic","Likely African-American","Democratic & Republican",38000,"Residential",323528,"0"
"297","mi","1",89,"1","Republican","European","Republican",98000,"Residential",187345,"0"
"298","fl","1",75,"1","Democratic","Likely African-American","Democratic",43749,"Apartment",194556,"0"
"299","ny","0",35,"1","Non-Partisan","European","Independent",110713,"Apartment",590811,"0"
"300","wi","1",NA,"0","Republican","European","Republican",17000,"Unknown",80752,"0"
"301","ny","1",73,"1","Democratic","European","Democratic & Independent",110000,"Residential",723582,"0"
"302","wa","1",21,"1","Democratic","European","Democratic",145000,"Apartment",225524,"0"
"303","oh","1",56,"0","Democratic","European","Democratic",64000,"Residential",94285,"0"
"304","tx","1",48,"1","Republican","Hispanic and Portuguese","Republican",84000,"Apartment",282050,"0"
"305","md","1",62,"1","Democratic","Likely African-American","Democratic",166000,"Residential",213229,"0"
"306","tn","1",78,"1","Republican","European","Republican",NA,"Residential",NA,"1"
"307","ca","1",19,"1","Republican","European","Republican",250000,"Residential",1027263,"0"
"308","tx","1",53,"0","Republican","Hispanic and Portuguese","Republican",33000,"Residential",87500,"1"
"309","il","1",67,"1","Republican","European","Republican",94000,"Residential",116364,"0"
"310","ny","1",52,"0","Non-Partisan","European","Independent",73000,"Residential",475000,"1"
"311","oh","0",41,"1","Non-Partisan","European","Independent",NA,"Apartment",NA,"0"
"312","ga","0",58,"1","Non-Partisan","Likely African-American","Independent",51445,"Unknown",47250,"0"
"313","wi","0",NA,"0","Non-Partisan","European","Independent",139638,"Residential",298040,"0"
"314","la","0",55,"1","Republican","European","Republican",47044,"Residential",87500,"1"
"315","az","1",38,"1","Republican","European","Republican",161000,"Residential",242390,"0"
"316","co","1",72,"1","Democratic","Likely African-American","Democratic",79000,"Triplex",529190,"0"
"317","nc","1",49,"1","Democratic","Likely African-American","Democratic",36999,"Apartment",203253,"0"
"318","mi","1",65,"0","Republican","European","Democratic & Republican",94000,"Residential",625000,"0"
"319","pa","1",53,"1","Democratic","","Democratic",104000,"Residential",75736,"0"
"320","ca","1",72,"0","Republican","European","Republican",43635,"Duplex",457499,"0"
"321","va","0",53,"0","Democratic","European","Democratic",138000,"Residential",255635,"1"
"322","oh","1",45,"0","Non-Partisan","European","Independent",118000,"Apartment",135845,"0"
