"","state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation"
"91","tx","0",52,"1","Democratic","Likely African-American","Democratic",30529,"Apartment",90999,"0"
"92","ct","1",55,"1","Democratic","Hispanic and Portuguese","Democratic & Independent",66000,"Apartment",189717,"1"
"93","tx","1",67,"1","Republican","European","Republican",250000,"Residential",516821,"1"
"94","mi","1",64,"1","Republican","European","Democratic & Republican",26000,"Residential",64963,"1"
"95","ma","1",53,"0","Democratic","European","Democratic",195000,"Apartment",457997,"0"
"96","ok","1",33,"0","Republican","European","Republican & Independent",67990,"Apartment",184855,"0"
"97","nj","1",70,"0","Republican","Hispanic and Portuguese","Democratic & Republican",250000,"Residential",1837485,"1"
"98","nj","1",50,"0","Democratic","European","Democratic",122000,"Triplex",190277,"0"
"99","hi","0",NA,"0","Non-Partisan","Hispanic and Portuguese","Independent",28000,"Duplex",247916,"0"
"100","pa","1",29,"1","Non-Partisan","European","Democratic & Independent",55000,"Unknown",78218,"0"
"101","ut","1",75,"1","Republican","European","Republican",61000,"Residential",279663,"1"
"102","nj","1",40,"0","Democratic","European","Democratic",199000,"Apartment",625000,"0"
"103","tx","0",28,"1","Democratic","Hispanic and Portuguese","Democratic",38000,"Unknown",187312,"0"
"104","nc","0",20,"1","Non-Partisan","European","Independent",59000,"Residential",226383,"0"
"105","ny","0",19,"0","Independence","European","Republican & Independent",117802,"Residential",529190,"1"
"106","fl","1",54,"1","Republican","European","Republican",222000,"Residential",1037571,"1"
"107","oh","0",35,"1","Republican","Other","Republican",69000,"Residential",206976,"0"
"108","ks","1",36,"1","Democratic","European","Democratic & Republican",53666,"Residential",129411,"0"
"109","wa","1",34,"0","Republican","European","Republican",197000,"Residential",722219,"0"
"110","ok","1",64,"0","Non-Partisan","Hispanic and Portuguese","Independent",30000,"Residential",123332,"0"
"111","dc","1",54,"1","Democratic","Other","Democratic",48000,"Apartment",176229,"0"
"112","mi","1",20,"0","Democratic","European","Democratic",250000,"Residential",325000,"0"
"113","me","0",67,"1","Green","European","Independent",NA,"Apartment",NA,"0"
"114","fl","1",44,"1","Republican","European","Republican",116000,"Unknown",203174,"0"
"115","al","1",55,"1","Democratic","Likely African-American","Democratic",76000,"Apartment",184403,"0"
"116","tx","0",48,"1","Democratic","Hispanic and Portuguese","Democratic",14000,"Unknown",173749,"0"
"117","or","1",20,"0","Republican","European","Republican",142000,"Residential",297499,"0"
"118","pa","0",26,"0","Democratic","","Democratic",48260,"Apartment",123437,"0"
"119","oh","1",54,"1","Republican","European","Republican",94189,"Residential",191666,"0"
"120","ma","0",31,"1","Non-Partisan","East and South Asian","Independent",61517,"Apartment",474456,"0"
"121","ny","1",70,"1","Independence","European","Independent",NA,"Unknown",NA,"0"
"122","ga","0",55,"0","Democratic","European","Democratic",13000,"Residential",143251,"0"
"123","ny","0",28,"0","Democratic","Likely African-American","Democratic",89000,"Apartment",128840,"0"
"124","mt","1",39,"1","Non-Partisan","European","Independent",241000,"Residential",658789,"0"
"125","ca","1",24,"0","Republican","Hispanic and Portuguese","Republican",131000,"Residential",920740,"0"
"126","ca","0",32,"1","Democratic","European","Democratic",162757,"Residential",363024,"0"
"127","md","1",41,"0","Democratic","","Democratic",123000,"Apartment",249610,"0"
"128","il","1",62,"0","Democratic","European","Democratic & Republican & Independent",30000,"Residential",194303,"0"
"129","mi","0",47,"1","Non-Partisan","Hispanic and Portuguese","Independent",38000,"Residential",87500,"0"
"130","oh","1",69,"0","Non-Partisan","European","Independent",72749,"Residential",149453,"1"
"131","nv","1",83,"0","Non-Partisan","European","Independent",24000,"Residential",218715,"0"
"132","ga","1",63,"1","Non-Partisan","European","Republican & Independent",108332,"Residential",252619,"1"
"133","ma","1",23,"1","Non-Partisan","European","Independent",143102,"Residential",212233,"0"
"134","or","1",37,"1","Non-Partisan","","Democratic & Independent",94000,"Unknown",444210,"0"
"135","tn","1",72,"0","Republican","European","Republican & Independent",107000,"Residential",436791,"0"
"136","ma","0",NA,"0","Non-Partisan","European","Democratic & Independent",231000,"Residential",1255660,"0"
"137","ma","1",25,"0","Non-Partisan","European","Republican & Independent",196000,"Duplex",625880,"0"
"138","md","0",67,"1","Democratic","Likely African-American","Democratic",26730,"Apartment",112500,"0"
"139","ky","1",64,"0","Republican","European","Democratic & Republican",250000,"Residential",1000000,"0"
"140","mi","1",64,"0","Republican","European","Republican",114000,"Residential",334418,"1"
"141","pa","1",35,"0","Democratic","Hispanic and Portuguese","Democratic",229000,"Residential",951508,"0"
"142","mi","1",50,"0","Democratic","Likely African-American","Democratic",78000,"Apartment",262500,"0"
"143","co","1",43,"0","Libertarian","European","Independent",95860,"Unknown",217298,"0"
"144","il","1",80,"1","Republican","European","Republican",32000,"Residential",298156,"0"
"145","tx","1",63,"1","Republican","","Republican",117324,"Residential",843022,"0"
"146","oh","1",56,"0","Republican","European","Republican & Independent",35937,"Apartment",87500,"1"
"147","ar","0",48,"0","Non-Partisan","European","Independent",NA,"Apartment",NA,"0"
"148","ca","1",72,"1","Democratic","Hispanic and Portuguese","Democratic",54166,"Residential",1000000,"0"
"149","de","1",67,"1","Republican","European","Democratic & Republican",137000,"Residential",421249,"1"
"150","ct","1",39,"0","Democratic","European","Democratic",250000,"Residential",502201,"0"
"151","ut","1",17,"1","Non-Partisan","European","Republican & Independent",172000,"Residential",371476,"0"
"152","az","1",20,"0","Republican","European","Republican & Independent",137000,"Apartment",625000,"0"
"153","ca","1",76,"1","Republican","European","Republican",104000,"Residential",375000,"1"
"154","va","0",42,"0","Non-Partisan","Likely African-American","Independent",91000,"Apartment",185231,"0"
"155","co","0",23,"1","Non-Partisan","Hispanic and Portuguese","Democratic & Independent",57267,"Unknown",359778,"0"
"156","ga","1",51,"1","Democratic","Likely African-American","Democratic",63870,"Unknown",50999,"0"
"157","al","0",23,"1","Republican","European","Republican",79999,"Residential",81963,"0"
"158","ut","1",67,"0","Republican","European","Republican",182000,"Residential",646954,"0"
"159","fl","1",44,"1","Non-Partisan","Hispanic and Portuguese","Independent",27020,"Apartment",162500,"0"
"160","ca","1",51,"0","Republican","European","Republican & Independent",201156,"Unknown",1327110,"0"
"161","tx","1",64,"0","Republican","European","Republican",45624,"Residential",251186,"1"
"162","pa","1",59,"0","Democratic","European","Democratic",28835,"Apartment",112500,"0"
"163","ga","1",26,"1","Non-Partisan","East and South Asian","Republican & Independent",151000,"Unknown",213192,"0"
"164","ny","0",53,"0","Non-Partisan","Other","Independent",38468,"Apartment",168055,"0"
"165","or","1",35,"0","Republican","European","Republican",250000,"Residential",826455,"1"
"166","tn","0",34,"0","Non-Partisan","Likely African-American","Democratic & Independent",69710,"Residential",47916,"1"
"167","fl","1",92,"0","Republican","European","Republican",52000,"Residential",156823,"0"
"168","oh","1",83,"0","Republican","","Republican",34000,"Residential",217569,"0"
"169","ca","1",30,"1","Democratic","European","Democratic & Independent",250000,"Residential",3126562,"0"
"170","ca","1",42,"1","Democratic","Hispanic and Portuguese","Democratic",114000,"Residential",1054384,"0"
"171","ny","1",22,"1","Democratic","Likely African-American","Democratic",93000,"Apartment",389999,"0"
"172","tx","1",52,"1","Democratic","","Democratic",85000,"Residential",60164,"0"
"173","tx","1",41,"1","Republican","European","Republican",214000,"Residential",749460,"1"
"174","nc","1",83,"0","Democratic","European","Democratic & Republican",245000,"Residential",488281,"0"
"175","in","1",77,"1","Non-Partisan","European","Independent",54126,"Residential",192500,"0"
"176","va","0",51,"0","Republican","European","Republican",65000,"Residential",278307,"0"
"177","nj","0",54,"0","Republican","European","Republican",58000,"Residential",365753,"1"
"178","ok","1",56,"0","Democratic","European","Democratic",199000,"Residential",804716,"0"
"179","fl","1",36,"0","Democratic","Likely African-American","Democratic",48000,"Apartment",55332,"0"
"180","tx","1",57,"1","Democratic","Likely African-American","Democratic",41028,"Residential",64582,"0"
"181","mo","0",37,"0","Non-Partisan","","Independent",23000,"Residential",87500,"0"
"182","md","0",NA,"0","Non-Partisan","European","Republican & Independent",175000,"Residential",498927,"0"
"183","ca","0",29,"1","Non-Partisan","East and South Asian","Democratic & Independent",109294,"Apartment",693597,"0"
"184","il","0",53,"1","Non-Partisan","","Independent",84847,"Residential",138756,"1"
"185","ca","1",68,"1","Democratic","European","Democratic",55000,"Residential",367558,"1"
"186","nc","1",47,"0","Republican","European","Republican",98610,"Residential",348938,"0"
"187","pa","1",36,"0","Democratic","European","Democratic",39478,"Residential",154180,"1"
"188","ga","0",31,"1","Democratic","European","Democratic",177000,"Residential",133213,"0"
"189","va","1",69,"1","Republican","European","Republican",NA,"Apartment",NA,"0"
"190","la","1",76,"0","Democratic","European","Democratic",45967,"Apartment",285273,"0"
"191","nv","0",18,"1","Non-Partisan","European","Independent",NA,"Apartment",NA,"0"
"192","tn","1",23,"0","Non-Partisan","Likely African-American","Democratic & Independent",145000,"Residential",138995,"0"
"193","ny","0",61,"0","Republican","European","Democratic & Republican",99904,"Residential",297999,"0"
"194","tx","1",27,"0","Republican","European","Republican",117000,"Apartment",141882,"0"
"195","nm","1",38,"1","Republican","European","Republican",189000,"Residential",515624,"1"
"196","tn","1",18,"0","Democratic","European","Democratic",111000,"Unknown",325837,"0"
"197","hi","0",67,"0","Non-Partisan","","Independent",13000,"Apartment",781880,"0"
"198","il","1",28,"1","Non-Partisan","European","Independent",85386,"Apartment",237500,"0"
"199","de","1",76,"0","Republican","European","Democratic & Republican",72000,"Residential",337097,"1"
"200","il","1",45,"0","Non-Partisan","European","Independent",137000,"Residential",212499,"0"
"201","ca","1",62,"1","Democratic","Other","Democratic & Independent",35000,"Residential",569049,"0"
"202","oh","1",33,"0","Republican","European","Democratic & Republican",77881,"Residential",293138,"0"
"203","la","1",40,"1","Democratic","Likely African-American","Democratic",8000,"Apartment",160892,"0"
"204","co","1",55,"1","Non-Partisan","European","Democratic & Independent",139000,"Residential",735959,"0"
"205","ga","1",20,"0","Non-Partisan","Likely African-American","Independent",58000,"Residential",101150,"0"
"206","mn","1",49,"1","Republican","European","Democratic & Republican",111000,"Residential",396122,"1"
"207","fl","1",86,"1","Democratic","Hispanic and Portuguese","Democratic & Independent",49000,"Residential",249211,"0"
"208","ca","1",36,"0","Non-Partisan","","Democratic & Independent",115000,"Unknown",307926,"0"
"209","tx","1",50,"1","Republican","","Republican",20416,"Apartment",52118,"1"
"210","ca","1",86,"0","Republican","European","Republican & Independent",138000,"Residential",678499,"0"
"211","ny","0",75,"0","Democratic","Hispanic and Portuguese","Democratic",27499,"Condominium",311887,"0"
"212","or","0",25,"1","Non-Partisan","European","Independent",145000,"Apartment",206479,"0"
"213","nj","0",28,"0","Non-Partisan","European","Independent",59897,"Apartment",161816,"0"
"214","ia","0",34,"0","Non-Partisan","","Independent",139000,"Residential",306493,"0"
"215","me","1",51,"1","Non-Partisan","European","Independent",45000,"Residential",272058,"1"
"216","wa","1",34,"1","Democratic","European","Democratic",70928,"Residential",334258,"0"
"217","ga","0",79,"0","Non-Partisan","European","Independent",43653,"Unknown",74614,"1"
"218","tn","1",20,"1","Non-Partisan","European","Democratic & Independent",97863,"Residential",204737,"0"
"219","ca","1",23,"1","Republican","European","Republican",78430,"Residential",829496,"0"
"220","ca","1",70,"1","Democratic","Hispanic and Portuguese","Democratic",50000,"Mobil Home",242567,"0"
"221","ky","1",58,"0","Registered Independent","European","Independent",30034,"Residential",186366,"1"
"222","tn","1",60,"1","Republican","European","Republican",NA,"Residential",NA,"0"
"223","wi","1",57,"1","Republican","European","Republican",78188,"Residential",287500,"1"
"224","ma","1",59,"0","Non-Partisan","","Independent",78065,"Apartment",245369,"0"
"225","in","0",24,"1","Non-Partisan","European","Independent",57285,"Unknown",62500,"0"
"226","vt","1",61,"0","Republican","European","Republican",29374,"Residential",165919,"0"
"227","co","1",41,"1","Republican","","Republican & Independent",51378,"Residential",152499,"0"
"228","pa","1",48,"0","Republican","European","Republican",72964,"Apartment",92574,"1"
"229","sc","0",19,"0","Non-Partisan","Likely African-American","Independent",12000,"Triplex",105083,"0"
"230","tx","0",36,"0","Non-Partisan","Other","Independent",91235,"Unknown",179124,"0"
"231","tx","1",85,"1","Republican","European","Republican",112254,"Residential",279168,"1"
"232","wi","1",NA,"1","Republican","European","Republican",64401,"Apartment",133038,"0"
"233","il","0",44,"1","Non-Partisan","Hispanic and Portuguese","Independent",73000,"Apartment",137500,"0"
"234","wa","1",53,"0","Democratic","European","Democratic",87000,"Residential",184774,"0"
"235","ut","1",29,"1","Non-Partisan","European","Independent",190000,"Residential",616916,"0"
"236","nj","1",59,"0","Republican","European","Republican",250000,"Residential",860305,"1"
"237","ny","1",57,"1","Democratic","Likely African-American","Democratic",78000,"Duplex",475000,"0"
"238","oh","1",73,"0","Republican","European","Republican",65999,"Residential",162500,"0"
"239","tn","1",68,"1","Democratic","European","Democratic & Independent",59000,"Residential",210651,"1"
"240","pa","1",48,"1","Republican","","Republican",71531,"Unknown",51607,"0"
"241","id","1",80,"0","Republican","European","Republican",151000,"Residential",1226521,"0"
"242","pa","0",39,"0","Non-Partisan","European","Independent",32499,"Residential",94285,"0"
"243","ca","0",50,"1","Democratic","European","Democratic",71013,"Apartment",493087,"0"
"244","ma","0",24,"0","Non-Partisan","European","Republican & Independent",115000,"Residential",693179,"0"
"245","pa","0",72,"1","Republican","European","Republican",39000,"Residential",164339,"0"
"246","pa","0",54,"0","Democratic","Other","Democratic",121000,"Apartment",363357,"0"
"247","il","1",50,"0","Democratic","Likely African-American","Democratic",NA,"Apartment",NA,"0"
"248","ms","1",39,"0","Democratic","Likely African-American","Democratic",54000,"Apartment",214110,"0"
"249","nj","0",32,"1","Democratic","European","Democratic & Republican",90000,"Duplex",280555,"0"
"250","ny","0",69,"0","Independence","European","Republican & Independent",165000,"Residential",328736,"0"
"251","fl","1",82,"1","Democratic","Likely African-American","Democratic & Republican",31000,"Residential",153225,"1"
"252","wv","1",59,"0","Democratic","European","Democratic",38000,"Apartment",56784,"0"
"253","ny","1",52,"1","Democratic","Other","Democratic & Independent",54000,"Condominium",88157,"0"
"254","oh","0",47,"1","Republican","European","Republican & Independent",177580,"Apartment",328570,"0"
"255","al","1",71,"0","Republican","European","Republican",43000,"Residential",402096,"0"
"256","ny","1",26,"0","Democratic","European","Democratic & Independent",62000,"Residential",567749,"1"
"257","oh","1",25,"1","Republican","","Republican",72000,"Residential",106249,"0"
"258","ny","1",77,"1","Democratic","European","Democratic",78570,"Residential",258193,"1"
"259","tx","1",90,"0","Republican","European","Republican",165000,"Residential",237499,"0"
"260","ny","1",21,"0","Democratic","","Democratic & Independent",236231,"Residential",609183,"0"
"261","mo","0",30,"0","Democratic","European","Democratic & Republican",11000,"Residential",110348,"0"
"262","mn","1",54,"1","Democratic","European","Democratic",66899,"Residential",268999,"0"
"263","ga","0",51,"0","Non-Partisan","","Independent",233680,"Residential",488773,"0"
"264","ca","1",40,"0","Democratic","European","Democratic",123000,"Residential",587826,"0"
"265","ca","1",57,"0","Non-Partisan","European","Independent",207000,"Residential",769569,"0"
"266","mo","1",51,"1","Democratic","Likely African-American","Democratic",123000,"Unknown",195259,"0"
"267","tn","1",82,"0","Non-Partisan","European","Independent",83755,"Apartment",212500,"0"
"268","mi","1",41,"1","Democratic","European","Democratic",138102,"Apartment",200111,"0"
"269","il","0",63,"0","Republican","European","Republican",109374,"Residential",425283,"0"
"270","md","1",35,"0","Democratic","","Democratic",97000,"Residential",475000,"0"
"271","il","1",53,"1","Non-Partisan","","Independent",133231,"Residential",137500,"1"
"272","ri","1",20,"0","Non-Partisan","","Independent",60000,"Residential",193195,"1"
"273","ca","1",24,"1","Democratic","Hispanic and Portuguese","Democratic",243124,"Residential",1147853,"0"
"274","ga","1",49,"0","Non-Partisan","European","Independent",NA,"Unknown",NA,"0"
"275","va","1",51,"0","Democratic","Hispanic and Portuguese","Democratic",91182,"Residential",350636,"0"
"276","tx","1",77,"0","Republican","European","Republican",41841,"Residential",141003,"1"
"277","ny","1",61,"1","Democratic","East and South Asian","Democratic",83481,"Residential",362499,"0"
"278","ga","0",31,"0","Republican","European","Republican",67380,"Residential",137388,"0"
"279","ok","1",27,"0","Non-Partisan","European","Independent",131000,"Residential",416910,"0"
"280","oh","0",47,"1","Democratic","European","Democratic",42000,"Residential",78693,"0"
"281","ca","0",28,"0","Republican","European","Democratic & Republican",76086,"Apartment",1025799,"1"
"282","mi","1",29,"1","Non-Partisan","European","Independent",11000,"Residential",89166,"0"
"283","ca","1",36,"1","Democratic","Hispanic and Portuguese","Democratic",34000,"Residential",249481,"0"
"284","wi","0",39,"0","Non-Partisan","European","Independent",58666,"Apartment",171682,"0"
"285","mn","1",21,"1","Democratic","Other","Democratic",92198,"Residential",287499,"0"
"286","me","1",73,"1","Non-Partisan","European","Independent",49708,"Unknown",67546,"0"
"287","az","1",72,"0","Republican","European","Republican",70000,"Residential",228051,"0"
"288","va","1",81,"1","Republican","European","Republican",17000,"Apartment",204499,"0"
"289","mi","1",75,"0","Republican","European","Republican",87000,"Apartment",169248,"1"
"290","ca","0",60,"0","Democratic","Hispanic and Portuguese","Democratic",NA,"Apartment",NA,"0"
"291","in","1",66,"1","Democratic","European","Democratic",53000,"Residential",166874,"0"
"292","ct","1",18,"1","Democratic","European","Democratic & Republican",208000,"Residential",1114829,"0"
"293","pa","1",64,"0","Republican","European","Republican",198000,"Residential",217499,"0"
"294","wv","0",63,"0","Non-Partisan","European","Republican & Independent",42285,"Residential",73332,"0"
"295","nm","1",73,"0","Democratic","European","Democratic",82266,"Residential",103273,"1"
"296","me","1",74,"1","Democratic","European","Democratic",250000,"Residential",678090,"0"
"297","co","1",71,"1","Republican","European","Republican",79115,"Apartment",389836,"0"
"298","ca","1",20,"1","Republican","East and South Asian","Republican & Independent",88000,"Apartment",656859,"0"
"299","nj","1",58,"1","Republican","European","Republican & Independent",250000,"Apartment",854904,"0"
"300","wa","1",22,"1","Democratic","Other","Democratic",71000,"Apartment",317581,"0"
"301","tn","1",40,"1","Democratic","European","Democratic",25249,"Residential",84499,"0"
"302","ia","1",59,"1","Republican","","Republican",93000,"Residential",576865,"0"
"303","md","1",49,"0","Non-Partisan","European","Independent",54000,"Apartment",162500,"0"
"304","il","0",57,"1","Democratic","European","Democratic",47499,"Unknown",107521,"0"
"305","ca","1",49,"0","Republican","European","Republican & Independent",NA,"Residential",NA,"0"
"306","id","1",72,"0","Republican","European","Democratic & Republican",26000,"Residential",149456,"1"
"307","ny","1",22,"1","Democratic","European","Democratic",85000,"Apartment",223482,"0"
"308","mi","1",24,"0","Non-Partisan","European","Independent",250000,"Residential",566879,"1"
"309","fl","1",51,"0","Republican","European","Republican",122108,"Apartment",325000,"0"
"310","fl","1",62,"1","Democratic","European","Democratic",85260,"Residential",504368,"1"
"311","in","0",43,"0","Democratic","European","Democratic",31000,"Residential",123219,"0"
"312","tn","0",27,"0","Non-Partisan","European","Independent",47249,"Unknown",83073,"0"
"313","ga","1",39,"0","Non-Partisan","European","Independent",94000,"Residential",508811,"0"
"314","ca","0",38,"1","American Independent","European","Democratic & Independent",66000,"Residential",512227,"0"
"315","mi","1",67,"0","Republican","European","Democratic & Republican",83000,"Residential",177920,"0"
"316","nh","1",54,"1","Non-Partisan","","Independent",132519,"Residential",591498,"0"
"317","mi","1",41,"0","Democratic","","Democratic",121000,"Apartment",161709,"0"
"318","ga","1",23,"1","Non-Partisan","European","Independent",66000,"Apartment",132247,"0"
"319","ca","1",31,"1","Democratic","Likely African-American","Democratic",137108,"Apartment",449999,"0"
"320","or","1",78,"1","Democratic","European","Democratic",96855,"Apartment",737499,"0"
"321","ga","1",61,"0","Republican","European","Republican",61000,"Residential",583101,"0"
